Questions,Reference Answers,Annotation,Added the right names if they were wrong or additional names if they were missed out or any added comments. ,"In this task, you have verify if the reference answers are correct with respect to the current world knowledge. If your answer matches atleast one of the reference answers, then it is correct. 
Please use Wikipedia (infoboxes contain most answers) primarily for finding the answers. 
If you don't find it on Wikipedia, you may use any news source or basic google search."
Who is the head of the government of Hesse currently?,Boris Rhein,Y,,
Who is the head of the government of Manila currently?,Honey Lacuna,Y,,
Who is the head of the government of Montalban de Cordoba currently?,Miguel Ruz Salces,Y,,
Who is the head of the government of Schleswig-Holstein currently?,Daniel Gunther,Y,Second Cabinet of Daniel Günther ,
Who is the head of the government of Saint-Martin-de-Crau currently?,Christophe Laufray,Y,,
Who is the head of the government of Saint-Etienne Metropole currently?,Gael Perdriau,Y,,
Who is the head of the government of Krasnoyarsk currently?,Sergey Yeryomin,Y,,
Who is the head of the government of Somalia currently?,Mohamed Hussein Roble,N,Hassan Sheikh Mohamud,
Who is the head of the government of Saint Petersburg currently?,Alexander Beglov,Y,,
Who is the head of the government of Zaporizhzhia currently?,Anatolii Kurtiev,N,Ivan Fedorov,
Who is the head of the government of Chislaz currently?,George Dorin Bezi,NF,,
Who is the head of the government of Saint-Pol-sur-Ternoise currently?,"Benoit Demagny, Maurice Louf",N,Danielle Vasseur,
Who is the head of the government of West Maas en Waal currently?,Vincent van Neerbos,Y,,
Who is the head of the government of Atlanta currently?,Andre Dickens,Y,,
Who is the head of the government of Tasnad currently?,Adrian-Danut Farcau,Y,,
Who is the head of the government of Cologne currently?,Henriette Reker,Y,,
Who is the head of the government of Glostrup Municipality currently?,Kasper Damsgaard,Y,,
Who is the head of the government of Luizi-Calugara currently?,Edmond-Leonard David,NF,,
Who is the head of the government of Kernen im Remstal currently?,Benedikt Paulowitsch,NF,,
Who is the head of the government of Plzen Region currently?,Rudolf Spotak,N,Ilona Mauritzová,
Who is the head of the government of Asturias currently?,Adrian Barbon Rodriguez,Y,,
Who is the head of the government of Taipei City Government currently?,Ko Wen-je,N,,
Who is the head of the government of Roskilde Municipality currently?,Tomas Breddam,Y,Thomas Breddam,
Who is the head of the government of Enebakk currently?,Hans Kristian Solberg,N,Øystein Slette,
Who is the head of the government of Noyelles-les-Vermelles currently?,Bruno Trache,Y,,
Who is the head of the government of Manitoba currently?,Heather Stefanson,N,Anita Neville,
Who is the head of the government of Izmir currently?,Tunc Soyer,N,Cemil Tugay ,
Who is the head of the government of Vladivostok currently?,Konstantin Shestakov,Y,,
Who is the head of the government of Vacareni currently?,Costel Neagu,N,Gică Manolachi ,
Who is the head of the government of Hsinchu County currently?,Yang Wen-ke,Y,,
Who is the head of the government of Chailly-sur-Armancon currently?,Bernard Chalon,Y,,
Who is the head of the government of Avesnes-le-Sec currently?,"Claude Regniez, Alphonse Bury",Y,,
Who is the head of the government of Botosani currently?,Cosmin-Ionut Andrei,Y,,
Who is the head of the government of Dinard currently?,Arnaud Salmon,Y,,
Who is the head of the government of Mumbai currently?,Iqbal Singh Chahal,Y,,
Who is the head of the government of Pomi currently?,Cosmin-Ionel Krisan,NF,,
Who is the head of the government of Usurbil currently?,Agurtzane Solabarrieta,N,Xabier Arregi,
Who is the head of the government of Navarre currently?,Maria Chivite,Y,,
Who is the head of the government of Republic of Bashkortostan currently?,Andrey Nazarov,N,,
Who is the head of the government of Nicseni currently?,Victor-Claudiu Bulboaca,NF,,
Who is the head of the government of Villers-Plouich currently?,Pascal Bruniaux,Y,,
Who is the head of the government of Erftstadt currently?,Carolin Weitzel,Y,,
Who is the head of the government of Wiesbaden currently?,Gert-Uwe Mende,Y,,
Who is the head of the government of Mauritania currently?,Mohamed Ould Bilal,Y,,
Who is the head of the government of Eugene currently?,Lucy Vinis,Y,,
Who is the head of the government of Heilongjiang currently?,Liang Huiling,Y,,
Who is the head of the government of Kopstal currently?,Thierry Schuman,NF,,
Who is the head of the government of The Hague currently?,Jan van Zanen,Y,,
Who is the head of the government of Bahna currently?,Gheorghe Patrascu,Y,,
Who is the head of the government of Norfolk currently?,Kenneth Cooper Alexander,Y,,
Who is the head of the government of Graz currently?,Elke Kahr,Y,,
Who is the head of the government of Nur-Sultan currently?,Altai Kolginov,Y,,
Who is the head of the government of Pardubice Region currently?,Martin Netolicky,Y,,
Who is the head of the government of Istanbul currently?,Ekrem Imamoglu,N ,,
Who is the head of the government of Kazakhstan currently?,Alihan Smaiylov,N,,
Who is the head of the government of Le Bourget currently?,Jean-Baptiste Borsali,Y,,
Who is the head of the government of Bruay-la-Buissiere currently?,Ludovic Pajot,Y,,
Who is the head of the government of Indianapolis currently?,Joe Hogsett,N,,
Who is the head of the government of Gratangen currently?,Anita Karlsen,Y,,
Who is the head of the government of Ferin currently?,Michel Pederencino,Y,,
Who is the head of the government of Sudwest-Fryslan currently?,Jannewietske de Vries,Y,,
Who is the head of the government of Mykolaiv Oblast currently?,Vitalii Kim,Y,,
Who is the head of the government of Helsingor Municipality currently?,Benedikte Kiaer,Y,,
Who is the head of the government of Bordeaux currently?,Pierre Hurmic,N,,
Who is the head of the government of Tingvoll currently?,Ingrid Waagen,Y,,
Who is the head of the government of Madrid currently?,Jose Luis Martinez-Almeida,N,,
Who is the head of the government of Massalfassar currently?,Alvaro Montanes Fontestad,N,Joaquín Soler Garibo,
Who is the head of the government of Kosovo currently?,Albin Kurti,Y,,
Who is the head of the government of Iasi currently?,Mihai Chirica,Y,,
Who is the head of the government of Lyngby-Taarbaek Municipality currently?,Sofia Osmani,Y,,
Who is the head of the government of Roman currently?,Leonard Achiriloaiei,N,Roberto Gualtieri,
Who is the head of the government of Weilheim-Schongau currently?,Andrea Jochner-Weiss,Y,,
Who is the head of the government of Mali currently?,Abdoulaye Maiga,N,,
Who is the head of the government of Burkina Faso currently?,Apollinaire Joachim Kyelem de Tambela,N,,
Who is the head of the government of Primorsky Krai currently?,Oleg Kozhemyako,Y,,
Who is the head of the government of Boise currently?,Lauren McLean,Y,,
Who is the head of the government of Heilbronn currently?,Harry Mergel,Y,,
Who is the head of the government of Sector 1 currently?,Clotilde Armand,Y,,
Who is the head of the government of Mexico currently?,Andres Manuel Lopez Obrador,Y,,
Who is the head of the government of Meudon currently?,Denis Larghero,Y,,
Who is the head of the government of Community of Madrid currently?,Isabel Diaz Ayuso,Y,,
Who is the head of the government of Hradec Kralove currently?,Pavlina Springerova,Y,,
Who is the head of the government of Bulgaria currently?,"Nikolay Denkov, Kiril Petkov",N,,
Who is the head of the government of Vestre Slidre currently?,Haldor Odegard,Y,,
Who is the head of the government of Almaty currently?,Erbolat Dosaev,Y,,
Who is the head of the government of Ukraine currently?,Denys Shmyhal,Y,President: Volodymyr Zelenskyy,
Who is the head of the government of Vesthimmerland Municipality currently?,Per Bach Laursen,Y,,
Who is the head of the government of France currently?,Gabriel Attal,Y,President: 	Emmanuel Macron,
Who is the head of the government of Freiburg im Breisgau currently?,Martin Horn,Y,,
Who is the head of the government of Sector 6 currently?,Ciprian Ciucu,Y,,
Who is the head of the government of Sector 5 currently?,Cristian Popescu Piedone,Y,,
Who is the head of the government of Burundi currently?,Gervais Ndirakobuca,Y,President: Évariste Ndayishimiye,
Who is the head of the government of Balti currently?,"Aleksandr Petkov, Nikolay Grigorishin",Y,,
Who is the head of the government of Lyon currently?,Gregory Doucet,Y,,
Who is the head of the government of Dunkirk currently?,Patrice Vergriete,N,Jean Bodart,
Who is the head of the government of Aachen currently?,Sibylle Keupen,Y,,
Who is the head of the government of Iran currently?,Ebrahim Raisi,Y,,
Who is the head of the government of Modum currently?,Sunni Grondahl Aamodt,Y,,
Who is the head of the government of Bat Yam currently?,Tzvika Brot,Y,,
Who is the head of the government of Morlaix Communaute currently?,Jean-Paul Vermot,N,President: Thierry Piriou,
Who is the head of the government of Castile and Leon currently?,Alfonso Fernando Fernandez Manueco,Y,,
Who is the head of the government of Saint-Etienne currently?,Gael Perdriau,Y,,
Who is the head of the government of Tibanesti currently?,Neculai Munteanu,NF,,
Who is the head of the government of Darmstadt Government Region currently?,Brigitte Lindscheid,N,Hanno Benz,
Who is the head of the government of Lourches currently?,Dalila Duwez-Guesmia,Y,,
Who is the head of the government of Langeland Municipality currently?,Tonni Hansen,Y,,
Who is the head of the government of Wassenaar currently?,Leendert de Lange,N,Frank Koen,
Who is the head of the government of Saint-Brieuc Armor Agglomeration currently?,Ronan Kerdraon,NF,,
Who is the head of the government of Arleux currently?,Bruno Vandeville,Y,,
Who is the head of the government of North West currently?,Bushy Maape,Y,,
Who is the head of the government of Alcoi / Alcoy currently?,Antonio Frances Perez,Y,,
Who is the head of the government of Salzburg currently?,Harald Preuner,Y,,
Who is the head of the government of Hradec Kralove Region currently?,Martin Cervicek,N,Pavlína Springerová,
Who is the head of the government of Kremenchuk currently?,Vitalii Maletskyi,Y,,
Who is the head of the government of Chisinau currently?,Ion Ceban,Y,,
Who is the head of the government of Fantanele currently?,Nicolae Dolha,NF,,
Who is the head of the government of Piestany currently?,Peter Jancovic,Y,,
Who is the head of the government of Mainz currently?,Nino Haase,Y,,
Who is the head of the government of Meraker currently?,Kjersti Kjenes,N,Kari Anita Furunes,
Who is the head of the government of Geneva currently?,Alfonso Gomez Cruz,Y,,
Who is the head of the government of O Rosal currently?,Anxela Fernandez Callis,Y,,
Who is the head of the government of Stord currently?,Gaute Straume Epland,N,Sigbjørn Framnes,
Who is the head of the government of Doetinchem currently?,Annemieke Traag,N,Mark Boumans,
Who is the head of the government of Masoy currently?,Bernth R. Sjursen,N,Ingrid Majala,
Who is the head of the government of Tilloy-lez-Marchiennes currently?,Marie Cau,Y,,
Who is the head of the government of Molenbeek-Saint-Jean currently?,Catherine Moureaux,Y,,
Who is the head of the government of Tydal currently?,Jens Arne Kvello,Y,,
Who is the head of the government of Boston currently?,Michelle Wu,Y,,
Who is the head of the government of Copenhagen Municipality currently?,Sophie Haestorp Andersen,Y,,
Who is the head of the government of Lubeck currently?,Jan Lindenau,Y,,
Who is the head of the government of Marseille currently?,Benoit Payan,Y,,
Who is the head of the government of Sonderborg Municipality currently?,Erik Lauritzen,Y,,
Who is the head of the government of Spain currently?,Pedro Sanchez,Y,,
Who is the head of the government of Fouquieres-les-Lens currently?,Donata Hochart,Y,,
Who is the head of the government of Verona currently?,Damiano Tommasi,Y,,
Who is the head of the government of Russia currently?,Mikhail Mishustin,Y,,
Who is the head of the government of Romania currently?,Marcel Ciolacu,Y,,
Who is the head of the government of Esch-sur-Alzette currently?,Christian Weis,Y,,
Who is the head of the government of Petris currently?,Ionel Gheorghe Berari,Y,,
Who is the head of the government of Vienna currently?,Michael Ludwig,Y,,
Who is the head of the government of Poland currently?,Donald Tusk,Y,,
Who is the head of the government of Prats de Llucanes currently?,Jordi Bruch i Franch,Y,,
Who is the head of the government of Budapest District XI currently?,Imre Laszlo,NF,,
Who is the head of the government of Hasnon currently?,Andre Desmedt,Y,,
Who is the head of the government of Taitung County currently?,Rao Ching-ling,N,April Yao,
Who is the head of the government of Plzen currently?,Roman Zarzycky,Y,,
Who is the head of the government of Kerteminde Municipality currently?,Kasper Ejsing Olesen,Y,,
Who is the head of the government of Mende currently?,Alain Bertrand,N,Laurent Suau,
Who is the head of the government of Chicago currently?,Brandon Johnson,Y,,
Who is the head of the government of Malang currently?,Sutiaji,N,Wahyu Hidayat ,
Who is the head of the government of Dochia currently?,Iulian-Cornel Iacob,Y,,
Who is the head of the government of Georgia currently?,Irakli Kobakhidze,Y,,
Who is the head of the government of Incheon currently?,Park Nam-choon,N,Yoo Jeong-bok,
Who is the head of the government of Darabani currently?,Mihai-Alin Girbaci,Y,,
Who is the head of the government of Muhldorf am Inn currently?,Michael Hetzl,Y,,
Who is the head of the government of Hadsel currently?,Aina Johanne Nilsen,N,Kjell-Børge Freiberg,
Who is the head of the government of Canada currently?,Justin Trudeau,Y,,
Who is the head of the government of Region Zealand currently?,Heino Knudsen,Y,,
Who is the head of the government of Free Hanseatic City of Bremen currently?,Andreas Bovenschulte,Y,,
Who is the head of the government of Sant Fost de Campsentelles currently?,Montserrat Sanmarti Pratginestos,Y,,
Who is the head of the government of Stevns Municipality currently?,Henning Urban Dam,N,Annette Mortensen,
Who is the head of the government of Dortmund currently?,Thomas Westphal,Y,,
Who is the head of the government of Arnhem currently?,Ahmed Marcouch,Y,,
Who is the head of the government of Addis Ababa currently?,Adanech Abebe,Y,,
Who is the head of the government of Kinmen currently?,Yang Cheng-wu,N,Chen Fu-hai,
Who is the head of the government of Greenland currently?,Mute Bourup Egede,Y,,
Who is the head of the government of Quezon City currently?,Joy Belmonte,Y,,
Who is the head of the government of Bremerhaven currently?,Melf Grantz,Y,,
Who is the head of the government of Germany currently?,Olaf Scholz,Y,President is Frank-Walter Steinmeier and the chancellor is Olaf Scholz,
Who is the head of the government of Nuremberg currently?,Marcus Konig,Y,,
Who is the head of the government of Osaka Prefecture currently?,Hirofumi Yoshimura,Y,,
Who is the head of the government of Vintu de Jos currently?,Petru-Ioan Barbu,Y,,
Who is the head of the government of Miskolc currently?,Pal Veres,Y,,
Who is the head of the government of Rasnov currently?,Liviu-Calin Butnariu,Y,,
Who is the head of the government of Lannemezan currently?,Bernard Plano,Y,,
Who is the head of the government of Belgium currently?,Alexander De Croo,Y,,
Who is the head of the government of Isabela currently?,Rodolfo T. Albano III,Y,,
Who is the head of the government of Besancon currently?,Anne Vignot,Y,,
Who is the head of the government of Zorlentu Mare currently?,Ion-Marius Isfan,Y,,
Who is the head of the government of Kyoto Prefecture currently?,Takatoshi Nishiwaki,Y,,
Who is the head of the government of Balassagyarmat currently?,Gabor Csach,Y,,
Who is the head of the government of Hong Kong currently?,John Lee,Y,,
Who is the head of the government of Nantou County currently?,Lin Ming-chen,Y,,
Who is the head of the government of Brno currently?,Marketa Vankova,Y,,
Who is the head of the government of Aulnay-sous-Bois currently?,Bruno Beschizza,Y,,
Who is the head of the government of Varghis currently?,Lajos Imets,Y,,
Who is the head of the government of Keelung currently?,Hsieh Kuo-liang,Y,,
Who is the head of the government of Skanderborg Municipality currently?,Frands Fischer,Y,,
Who is the head of the government of Brandenburg an der Havel currently?,Steffen Scheller,Y,,
Who is the head of the government of Jonkoping County currently?,Helena Jonsson,Y,,
Who is the head of the government of Rebreuve-Ranchicourt currently?,Danielle Mannessiez,Y,,
Who is the head of the government of Nomain currently?,Pascal Delplanque,Y,,
Who is the head of the government of Ziduri currently?,Viorel Buzea,Y,,
Who is the head of the government of Nizhny Novgorod currently?,Yury Shalabayev,Y,,
Who is the head of the government of KwaZulu-Natal currently?,Nomusa Dube-Mncube,Y,,
Who is the head of the government of Odense Municipality currently?,Peter Rahbaek Juel,Y,,
Who is the head of the government of Uruguay currently?,Luis Lacalle Pou,Y,,
Who is the head of the government of Hamburg currently?,Peter Tschentscher,Y,,
Who is the head of the government of Mostoles currently?,Noelia Posse Gomez,N,Manuel Bautista,
Who is the head of the government of London currently?,Sadiq Khan,Y,,
Who is the head of the government of Pakistan currently?,Shehbaz Sharif,Y,,
Who is the head of the government of Ghidfalau currently?,Erno Jancso,Y,,
Who is the head of the government of Sanpetru de Campie currently?,Spiru-Serban Craciun,NF,,
Which political party does James Marape belong to currently?,Pangu Party,Y,,
Which political party does Maria Teresa Sosa belong to currently?,Valor,N,,
Which political party does Peadar Toibin belong to currently?,Aontu,Y,,
Which political party does Antonio Denarium belong to currently?,Progressive Party,Y,,
Which political party does Joao Vicente Goulart belong to currently?,Communist Party of Brazil,Y,,
Which political party does Maya Manolova belong to currently?,Stand Up.BG.,Y,,
Which political party does Calin Popescu-Tariceanu belong to currently?,Alliance of Liberals and Democrats Party,Y,,
Which political party does Anna Grodzka belong to currently?,Polska Partia Socjalistyczna,N,Not currently in any party,
Which political party does Fu Kun-chi belong to currently?,Kuomintang,Y,,
Which political party does Martin Bursik belong to currently?,Liberal-Environmental Party,Y,,
Which political party does Mattias Tesfaye belong to currently?,Social Democrats,Y,,
Which political party does Said Ahamada belong to currently?,"Territories of Progress, Renaissance",Y,,
Which political party does Ingebjorg Godskesen belong to currently?,Pensioners' Party,Y,,
Which political party does Manu Sareen belong to currently?,Social Democrats,Y,Social Liberal Party,
Which political party does Varujan Vosganian belong to currently?,Alliance of Liberals and Democrats Party,Y,,
Which political party does Mircea Chelaru belong to currently?,Romanian Nationhood Party,Y,,
Which political party does Elena Kountoura belong to currently?,SYRIZA,Y,,
Which political party does Jair Bolsonaro belong to currently?,Liberal Party,Y,,
Which political party does Pavlos Polakis belong to currently?,SYRIZA,Y,,
Which political party does Ivan Stefanec belong to currently?,Christian Democratic Movement,Y,,
Which political party does Avelino Mendez Rangel belong to currently?,National Regeneration Movement,Y,,
Which political party does Danus Skene belong to currently?,Scottish National Party,N,"Also, he died in 2016",
Which political party does Giuseppe Civati belong to currently?,Possible,Y,,
Which political party does Ferenc Gyurcsany belong to currently?,Democratic Coalition,Y,,
Which political party does Daniela Sbrollini belong to currently?,Italy Alive,Y,,
Which political party does Elly Schlein belong to currently?,"Green Italy, Democratic Party",Y,,
Which political party does Frantisek Laudat belong to currently?,Club of Committed Non-Party Members,Y,,
Which political party does Hsu Hsin-ying belong to currently?,independent politician,N,Kuomintang ,
Which political party does Maite Pagazaurtundua belong to currently?,independent politician,Y,Independant politician at Citizens (Spanish political party),
Which political party does Salvo Pogliese belong to currently?,Brothers of Italy,Y,,
Which political party does Shigefumi Matsuzawa belong to currently?,Nippon Ishin no Kai,Y,,
Which political party does Michael Biton belong to currently?,Israel Resilience Party,Y,,
Which political party does Bongbong Marcos belong to currently?,Partido Federal ng Pilipinas,Y,,
Which political party does Motohiro Ono belong to currently?,independent politician,N,Democratic Party for the People,
Which political party does Fabrizio Cicchitto belong to currently?,"Popular Alternative, New Centre-Right",Y,,
Which political party does Aurelien Tache belong to currently?,"The Ecologists, Q96803616",N,New Ecological and Social People's Union,
Which political party does Mauro Carlesse belong to currently?,Democrats,Y,Brazil Union,
Which political party does Vladimir Milov belong to currently?,Russia of the Future,Y,,
Which political party does Mark Reckless belong to currently?,Abolish the Welsh Assembly Party,Y,,
Which political party does Hiroshi Ogushi belong to currently?,Constitutional Democratic Party of Japan,Y,,
Which political party does Anne Marie Waters belong to currently?,For Britain,Y,UK Independence Party,
Which political party does Toni Cantazo belong to currently?,independent politician,N,Toni Canto | People's Party,
Which political party does Daniela Santanche belong to currently?,Brothers of Italy,Y,,
Which political party does Vladeta Jankovic belong to currently?,independent politician,Y,,
Which political party does Francisco Sosa Wagner belong to currently?,Ciudadanos,Y,,
Which political party does George Galloway belong to currently?,Workers Party of Britain,Y,,
Which political party does Toru Hashimoto belong to currently?,"Nippon Ishin no Kai, Osaka Restoration Association",Y,,
Which political party does Ilya Ponomarev belong to currently?,Green Alliance-The People's Party,N,Congress of People's Deputies ,
Which political party does Angelo Vaccarezza belong to currently?,Cambiamo!,Y,,
Which political party does Milos Zeman belong to currently?,Party of Civic Rights,Y,,
Which political party does Hazel Poa belong to currently?,Progress Singapore Party,Y,,
Which political party does Massimo Zedda belong to currently?,Progressive Area,Y,Progressive Party (Sardinia),
Which political party does Jean-Luc Melenchon belong to currently?,"La France insoumise, Left Party (France)",Y,,
Which political party does Kusuo Oshima belong to currently?,Reiwa Shinsengumi,Y,,
Which political party does Lourdes Ciuro i Buldo belong to currently?,Junts per Catalunya,Y,,
Which political party does Jacques Chirac belong to currently?,The Republicans,N,Union for a Popular Movement,
Which political party does Sunil Singh belong to currently?,Bharatiya Janata Party,Y,,
Which political party does Alexander Shokhin belong to currently?,United Russia,Y,,
Which political party does Yuriko Koike belong to currently?,"Party of Hope, Tomin First no Kai",Y,,
Which political party does Diether Dehm-Desoi belong to currently?,The Left,Y,,
Which political party does Marcelo Ebrard belong to currently?,National Regeneration Movement,Y,,
Which political party does Anke Domscheit-Berg belong to currently?,The Left,Y,,
Which political party does Nadia Valavani belong to currently?,Popular Unity,Y,,
Which political party does Jesse Ventura belong to currently?,Green Party of the United States,N,Green Party of Alaska,
Which political party does Gabriela Rivadeneira belong to currently?,Citizen Revolution Movement,Y,,
Which political party does Vera Jourova belong to currently?,ANO 2011,Y,,
Which political party does Anna Theologou belong to currently?,Allagi Genias,N,Progressive Party of Working People,
Which political party does Manuel Garcia Corpus belong to currently?,National Regeneration Movement,N,Institutional Revolutionary Party (PRI),
Which political party does Basuki Tjahaja Purnama belong to currently?,Indonesian Democratic Party - Struggle,Y,,
Which political party does Steven Fletcher belong to currently?,"People's Party of Canada, Manitoba First",Y,,
Which political party does Alvaro Uribe Velez belong to currently?,Centro Democratico,Y,,
Which political party does Helir-Valdor Seeder belong to currently?,Isamaa,Y,,
Which political party does Oleksandr Vilkul belong to currently?,Party of Peace and Development,Y,,
Which political party does Koichiro Genba belong to currently?,Constitutional Democratic Party of Japan,Y,,
Which political party does Ene Ergma belong to currently?,Estonian Reform Party,Y,,
Which political party does Vootele Hansen belong to currently?,Isamaa,Y,,
Which political party does Masir Kujat belong to currently?,independent politician,Y,,
Which political party does Vermin Supreme belong to currently?,Libertarian Party,N,Democratic Party,
Which political party does Jordi Xucla belong to currently?,Partit Nacionalista de Catalunya,Y,,
Which political party does Ida Auken belong to currently?,Social Democrats,Y,,
Which political party does Mahathir Mohamad belong to currently?,Parti Bumiputera Perkasa Malaysia,Y,Also Perikatan Nasional,
Which political party does Pier Luigi Bersani belong to currently?,Democratic Party,Y,,
Which political party does Amiruddin Hamzah belong to currently?,Homeland Fighter Party,Y,,
Which political party does Shane Knuth belong to currently?,Katter's Australian Party,Y,,
Which political party does Sergio Chiamparino belong to currently?,Democratic Party,Y,,
Which political party does Yasuko Komiyama belong to currently?,Constitutional Democratic Party of Japan,Y,,
Which political party does Obren Joksimovic belong to currently?,Serbian Radical Party,Y,,
Which political party does Sylvain Maillard belong to currently?,Renaissance,Y,,
Which political party does Ulrike Trebesius belong to currently?,independent politician,Y,,
Which employer does Donna Riley work for currently?,Purdue University,N,University of New Mexico,
Which employer does Sebastian Deffner work for currently?,"University of Maryland, Baltimore County",Y,,
Which employer does Simon Overland work for currently?,Burnie City Council,NF,,
Which employer does Stephanie Renouvin work for currently?,"W9, RTL2, C8, LCI",NF,,
Which employer does Chaim I. Waxman work for currently?,Hadassah Academic College,N,Van Leer Jerusalem Institute,
Which employer does Iolanda Batalle work for currently?,Llibreria Ona,Y,,
Which employer does Rachel Croson work for currently?,Michigan State University,N,University of Minnesota,
Which employer does Ken Levine work for currently?,Ghost Story Games,Y,,
Which employer does Joan Frances Blanc work for currently?,Eviden,Y,,
Which employer does Ulrike Guerot work for currently?,University for Continuing Education Krems,N,European Democracy Lab,
Which employer does Satyan Devadoss work for currently?,"University of California, San Diego",Y,,
Which employer does Rane Willerslev work for currently?,National Museum of Denmark,Y,,
Which employer does Wendy I Baltzer work for currently?,University of Sydney,Y,,
Which employer does Peter Norvig work for currently?,Google,N,Stanford Institute for Human-Centered AI,
Which employer does David O. Sacks work for currently?,Craft Ventures,Y,,
Which employer does Michael Hout work for currently?,New York University,Y,,
Which employer does Stephan Matthai work for currently?,University of Melbourne,Y,,
Which employer does Ari Kelman work for currently?,Pennsylvania State University,N,"University of California, Davis.",
Which employer does Alejandro Jenkins work for currently?,University of Costa Rica,Y,,
Which employer does Greta Van Susteren work for currently?,MSNBC,N,Newsmax TV,
Which employer does Emma B. Hodcroft work for currently?,University of Basel,N,University of Bern,
Which employer does James E. Ryan work for currently?,University of Virginia,Y,,
Which employer does Mark Aguiar work for currently?,Princeton University,Y,,
Which employer does Wendy L. Queen work for currently?,Swiss Federal Institute of Technology in Lausanne,Y,,
Which employer does Elias G. Carayannis work for currently?,The George Washington University School of Business,Y,,
