,Questions,Reference Answers,Annotation,"Y = yes, N = no, NF = not found",Unnamed: 4,"In this task, you have to verify if the reference answers are correct with respect to the current world knowledge. If your answer matches atleast one of the reference answers, then it is correct. Please use Wikipedia (infoboxes contain most answers) primarily for finding the answers. If you don't find it on Wikipedia, you may use any news source or basic google search.",question_keys
46,Who is the head coach of the team Futebol Clube do Porto currently?,Sergio Conceicao,Y,,,,Who is the head coach of the team Futebol Clube do Porto currently?
47,Who is the head coach of the team FC Samtredia currently?,Dimitar Kapinkovski,Y,,,,Who is the head coach of the team FC Samtredia currently?
53,Who is the head coach of the team Bayer 04 Leverkusen currently?,Xabi Alonso,Y,,,,Who is the head coach of the team Bayer 04 Leverkusen currently?
55,Who is the head coach of the team FC Cincinnati currently?,Pat Noonan,Y,,,,Who is the head coach of the team FC Cincinnati currently?
59,Who is the head coach of the team Brentford F.C. currently?,Thomas Frank,Y,,,,Who is the head coach of the team Brentford F.C. currently?
61,Who is the head coach of the team Rubin Kazan currently?,Rashid Rakhimov,Y,,,,Who is the head coach of the team Rubin Kazan currently?
63,Who is the head coach of the team Villarreal Club de Futbol currently?,Marcelino Garcia Toral,Y,,,,Who is the head coach of the team Villarreal Club de Fútbol currently?
65,Who is the head coach of the team Olympique de Marseille currently?,Jean-Louis Gasset,Y,,,,Who is the head coach of the team Olympique de Marseille currently?
67,Who is the head coach of the team Panathinaikos B.C. currently?,"Ergin Ataman, Aryiris Pedoulakis",Y,,,,Who is the head coach of the team Panathinaikos B.C. currently?
73,Who is the head coach of the team Kansas Jayhawks men's basketball currently?,Bill Self,Y,,,,Who is the head coach of the team Kansas Jayhawks men's basketball currently?
74,Who is the head coach of the team Sheffield United F.C. currently?,Chris Wilder,Y,,,,Who is the head coach of the team Sheffield United F.C. currently?
76,Who is the head coach of the team SBV Vitesse currently?,Edward Sturing,Y,,,,Who is the head coach of the team SBV Vitesse currently?
77,Who is the head coach of the team FC Lausanne-Sport currently?,Ludovic Magnin,Y,,,,Who is the head coach of the team FC Lausanne-Sport currently?
78,Who is the head coach of the team Palermo FC currently?,Eugenio Corini,Y,,,,Who is the head coach of the team Palermo FC currently?
79,Who is the head coach of the team FC Zenit Saint Petersburg currently?,Sergei Semak,Y,,,,Who is the head coach of the team FC Zenit Saint Petersburg currently?
81,Who is the head coach of the team Real Madrid CF currently?,Carlo Ancelotti,Y,,,,Who is the head coach of the team Real Madrid CF currently?
83,Who is the head coach of the team Manchester City F.C currently?,Pep Guardiola,Y,,,,Who is the head coach of the team Manchester City F.C currently?
84,Who is the head coach of the team FC Slutsk currently?,Aliaksandr Hurynovic,Y,,,,Who is the head coach of the team FC Slutsk currently?
86,Who is the head coach of the team Czech Republic national association football team currently?,Ivan Hasek,Y,,,,Who is the head coach of the team Czech Republic national association football team currently?
89,Who is the head coach of the team Penn State Lady Lions basketball currently?,Carolyn Kieger,Y,,,,Who is the head coach of the team Penn State Lady Lions basketball currently?
92,Who is the head coach of the team Los Angeles Galaxy currently?,Greg Vanney,Y,,,,Who is the head coach of the team Los Angeles Galaxy currently?
93,Who is the head coach of the team Russia national association football team currently?,Valeri Karpin,Y,,,,Who is the head coach of the team Russia national association football team currently?
95,Who is the head coach of the team Asteras Tripoli F.C. currently?,Milan Rastavac,Y,,,,Who is the head coach of the team Asteras Tripoli F.C. currently?
97,Who is the head coach of the team FC Astana currently?,Grigori Babayan,Y,,,,Who is the head coach of the team FC Astana currently?
101,Who is the head coach of the team Fenerbahce FC currently?,Ismail Kartal,Y,,,,Who is the head coach of the team Fenerbahçe FC currently?
102,Who is the head coach of the team PSV Eindhoven currently?,Peter Bosz,Y,,,,Who is the head coach of the team PSV Eindhoven currently?
103,Who is the head coach of the team F.C. Lorient currently?,Regis Le Bris,Y,,,,Who is the head coach of the team F.C. Lorient currently?
106,Who is the head coach of the team FC Viktoria Koln currently?,Olaf Janssen,Y,,,,Who is the head coach of the team FC Viktoria Köln currently?
107,Who is the head coach of the team Kilmarnock F.C. currently?,Derek McInnes,Y,,,,Who is the head coach of the team Kilmarnock F.C. currently?
108,Who is the head coach of the team FC Chornomorets Odesa currently?,Roman Hryhorchuk,Y,,,,Who is the head coach of the team FC Chornomorets Odesa currently?
109,Who is the head coach of the team FC Dunarea Calarasi currently?,Gheorghe Mihali,Y,,,,Who is the head coach of the team FC Dunărea Călărași currently?
111,Who is the head coach of the team FC Slavia-Mozyr currently?,Ivan Bionchik,Y,,,,Who is the head coach of the team FC Slavia-Mozyr currently?
112,Who is the head coach of the team FC Atyrau currently?,Vitaly Zhukovsky,Y,,,,Who is the head coach of the team FC Atyrau currently?
113,Who is the head coach of the team FK Borac Banja Luka currently?,Nenad Lalatovic,NF,,,,Who is the head coach of the team FK Borac Banja Luka currently?
114,Who is the head coach of the team Bingoal WB currently?,"Olivier Kaisen, Frederic Amorison",NF,,,,Who is the head coach of the team Bingoal WB currently?
116,Who is the head coach of the team Germany women's national volleyball team currently?,Vital Heynen,Y,,,,Who is the head coach of the team Germany women's national volleyball team currently?
118,Who is the head coach of the team Union Deportiva Las Palmas currently?,Francisco Javier Garcia Pimienta,Y,,,,Who is the head coach of the team Unión Deportiva Las Palmas currently?
119,Who is the head coach of the team SK Sigma Olomouc currently?,Jiri Sanak,Y,,,,Who is the head coach of the team SK Sigma Olomouc currently?
120,Who is the head coach of the team Denmark national association football team currently?,Kasper Hjulmand,Y,,,,Who is the head coach of the team Denmark national association football team currently?
122,Who is the head coach of the team KF Skenderbeu Korce currently?,Ivan Gvozdenovic,Y,,,,Who is the head coach of the team KF Skënderbeu Korçë currently?
126,Who is the head coach of the team Bologna FC 1909 currently?,Thiago Motta,Y,,,,Who is the head coach of the team Bologna FC 1909 currently?
127,Who is the head coach of the team Maccabi Petah Tikva F.C. currently?,Ran Kojok,Y,,,,Who is the head coach of the team Maccabi Petah Tikva F.C. currently?
128,Who is the head coach of the team FC Voluntari currently?,Florin Parvu,Y,,,,Who is the head coach of the team FC Voluntari currently?
134,Who is the head coach of the team FC Dinamo Minsk currently?,Vadim Skripchenko,Y,,,,Who is the head coach of the team FC Dinamo Minsk currently?
135,Who is the head coach of the team Ithrottabandalag Akraness currently?,Jon Thor Hauksson,Y,,,,Who is the head coach of the team Íþróttabandalag Akraness currently?
136,Who is the head coach of the team Deportivo Alaves currently?,Luis Garcia Plaza,Y,,,,Who is the head coach of the team Deportivo Alavés currently?
140,Who is the head coach of the team KAA Gent currently?,Hein Vanhaezebrouck,Y,,,,Who is the head coach of the team KAA Gent currently?
141,Who is the head coach of the team MFK Karvina currently?,"Marek Bielan, Radim Grussmann",Y,,,,Who is the head coach of the team MFK Karviná currently?
145,Who is the head coach of the team Limburg Lions currently?,Christoph Jauernik,Y,,,,Who is the head coach of the team Limburg Lions currently?
147,Who is the head coach of the team Blackburn Rovers F.C. currently?,John Eustace,Y,,,,Who is the head coach of the team Blackburn Rovers F.C. currently?
148,Who is the head coach of the team Direct Energie currently?,"Thibaut Mace, Benoit Genauzeau, Lylian Lebreton, Dominique Arnould",NF,,,,Who is the head coach of the team Direct Énergie currently?
151,Who is the head coach of the team Atalanta B.C. currently?,Gian Piero Gasperini,Y,,,,Who is the head coach of the team Atalanta B.C. currently?
154,Who is the head coach of the team ASM Clermont Auvergne currently?,Christophe Urios,Y,,,,Who is the head coach of the team ASM Clermont Auvergne currently?
156,Who is the head coach of the team Arsenal F.C. currently?,Mikel Arteta,Y,,,,Who is the head coach of the team Arsenal F.C. currently?
158,Who is the head coach of the team France national rugby union team currently?,Fabien Galthie,Y,,,,Who is the head coach of the team France national rugby union team currently?
159,Who is the head coach of the team Belarus national football team currently?,Carlos Alos Ferrer,Y,,,,Who is the head coach of the team Belarus national football team currently?
160,Who is the head coach of the team Ostersunds FK currently?,Magnus Powell,Y,,,,Who is the head coach of the team Östersunds FK currently?
161,Who is the head coach of the team Spezia Calcio currently?,Luca D'Angelo,Y,,,,Who is the head coach of the team Spezia Calcio currently?
162,Who is the head coach of the team HNK Rijeka currently?,Zeljko Sopic,Y,,,,Who is the head coach of the team HNK Rijeka currently?
164,Who is the head coach of the team TSC Backa Topola currently?,Zarko Lazetic,Y,,,,Who is the head coach of the team TSC Bačka Topola currently?
165,Who is the head coach of the team Aris Thessaloniki F.C. currently?,Apostolos Mantzios,Y,,,,Who is the head coach of the team Aris Thessaloniki F.C. currently?
167,Who is the head coach of the team Reading F.C. currently?,Ruben Selles,Y,,,,Who is the head coach of the team Reading F.C. currently?
169,Who is the head coach of the team Blackpool F.C. currently?,Neil Critchley,Y,,,,Who is the head coach of the team Blackpool F.C. currently?
171,Who is the head coach of the team Olympiacos F.C. currently?,Jose Luis Mendilibar,Y,,,,Who is the head coach of the team Olympiacos F.C. currently?
172,Who is the head coach of the team Sweden men's national ice hockey team currently?,Sam Hallam,Y,,,,Who is the head coach of the team Sweden men's national ice hockey team currently?
174,Who is the head coach of the team TSG 1899 Hoffenheim currently?,Pellegrino Matarazzo,Y,,,,Who is the head coach of the team TSG 1899 Hoffenheim currently?
176,Who is the head coach of the team Olympique Lyonnais currently?,Pierre Sage,Y,,,,Who is the head coach of the team Olympique Lyonnais currently?
178,Who is the head coach of the team Sheffield Wednesday F.C. currently?,Danny Rohl,Y,,,,Who is the head coach of the team Sheffield Wednesday F.C. currently?
182,Who is the head coach of the team NK Rudes currently?,Davor Mladina,Y,,,,Who is the head coach of the team NK Rudeš currently?
184,Who is the head coach of the team FC Urartu currently?,Dmitri Gunko,Y,,,,Who is the head coach of the team FC Urartu currently?
185,Who is the head coach of the team Panathinaikos F.C. currently?,Fatih Terim,Y,,,,Who is the head coach of the team Panathinaikos F.C. currently?
186,Who is the head coach of the team Frosinone Calcio currently?,Eusebio Di Francesco,Y,,,,Who is the head coach of the team Frosinone Calcio currently?
187,Who is the head coach of the team PEC Zwolle currently?,Johnny Jansen,Y,,,,Who is the head coach of the team PEC Zwolle currently?
191,Who is the head coach of the team Enosis Neon Paralimni FC currently?,David Caneda,Y,,,,Who is the head coach of the team Enosis Neon Paralimni FC currently?
194,Who is the head coach of the team Ivory Coast national football team currently?,Emerse Fae,Y,,,,Who is the head coach of the team Ivory Coast national football team currently?
195,Who is the head coach of the team FK Bodo/Glimt currently?,Kjetil Knutsen,Y,,,,Who is the head coach of the team FK Bodø/Glimt currently?
198,Who is the head coach of the team R.S.C. Anderlecht currently?,Brian Riemer,Y,,,,Who is the head coach of the team R.S.C. Anderlecht currently?
199,Who is the head coach of the team Bolton Wanderers F.C. currently?,Ian Evatt,Y,,,,Who is the head coach of the team Bolton Wanderers F.C. currently?
201,Who is the head coach of the team AaB Fodbold currently?,Oscar Hiljemark,Y,,,,Who is the head coach of the team AaB Fodbold currently?
202,Who is the head coach of the team FC Viktoria Plzen currently?,Miroslav Koubek,Y,,,,Who is the head coach of the team FC Viktoria Plzeň currently?
203,Who is the head coach of the team FC Flora Tallinn currently?,Norbert Hurt,Y,,,,Who is the head coach of the team FC Flora Tallinn currently?
205,Who is the head coach of the team Fremantle Football Club currently?,Justin Longmuir,Y,,,,Who is the head coach of the team Fremantle Football Club currently?
206,Who is the head coach of the team FC Hermannstadt currently?,Marius Maldarasanu,Y,,,,Who is the head coach of the team FC Hermannstadt currently?
208,Who is the head coach of the team FC Chita currently?,Maksim Shvetsov,NF,,,,Who is the head coach of the team FC Chita currently?
209,Who is the head coach of the team HNK Sibenik currently?,Mario Carevic,Y,,,,Who is the head coach of the team HNK Šibenik currently?
210,Who is the head coach of the team Feyenoord currently?,Arne Slot,Y,,,,Who is the head coach of the team Feyenoord currently?
214,Who is the head coach of the team Philadelphia Union currently?,Jim Curtin,Y,,,,Who is the head coach of the team Philadelphia Union currently?
215,Who is the head coach of the team Lamia F.C. currently?,Leonidas Vokolos,Y,,,,Who is the head coach of the team Lamia F.C. currently?
218,Who is the head coach of the team Belarus national under-21 football team currently?,Sergey Yaromko,Y,,,,Who is the head coach of the team Belarus national under-21 football team currently?
219,Who is the head coach of the team FC Shakhtyor Salihorsk currently?,Stanislau Suvorau,Y,,,,Who is the head coach of the team FC Shakhtyor Salihorsk currently?
220,Who is the chair of Alliance '90/The Greens Hamburg currently?,Maryam Blumenthal,Y,,,,Who is the chair of Alliance '90/The Greens Hamburg currently?
221,Who is the chair of A.E.K. Athens F.C. currently?,Evangelos Aslanidis,Y,,,,Who is the chair of A.E.K. Athens F.C. currently?
222,Who is the chair of Naturschutzbund Deutschland currently?,Jorg-Andreas Kruger,Y,,,,Who is the chair of Naturschutzbund Deutschland currently?
224,Who is the chair of Pantheon-Assas University currently?,Stephane Braconnier,Y,,,,Who is the chair of Panthéon-Assas University currently?
226,Who is the chair of Bose Monastic Community currently?,Sabino Chiala,Y,,,,Who is the chair of Bose Monastic Community currently?
232,Who is the chair of American Mathematical Society currently?,Ruth Charney,Y,,,,Who is the chair of American Mathematical Society currently?
234,Who is the chair of Grand Orient de France currently?,Guillaume Trichard,NF,,,,Who is the chair of Grand Orient de France currently?
235,Who is the chair of Federal Foreign Office currently?,Annalena Baerbock,Y,,,,Who is the chair of Federal Foreign Office currently?
236,Who is the chair of National Party of Australia currently?,David Littleproud,Y,,,,Who is the chair of National Party of Australia currently?
238,Who is the chair of World Athletics currently?,Sebastian Coe,Y,,,,Who is the chair of World Athletics currently?
239,Who is the chair of Notre Europe currently?,Enrico Letta,Y,,,,Who is the chair of Notre Europe currently?
240,Who is the chair of European Court of Human Rights currently?,Siofra O'Leary,Y,,,,Who is the chair of European Court of Human Rights currently?
242,Who is the chair of Wittenberg University currently?,Michael Frandsen,Y,,,,Who is the chair of Wittenberg University currently?
243,Who is the chair of Roman Catholic Archdiocese of Rimouski currently?,Denis Grondin,Y,,,,Who is the chair of Roman Catholic Archdiocese of Rimouski currently?
244,Who is the chair of Association for Women currently?,Chuu-Lian Terng,NF,,,,Who is the chair of Association for Women currently?
247,Who is the chair of Intergovernmental Panel on Climate Change currently?,James Skea,Y,,,,Who is the chair of Intergovernmental Panel on Climate Change currently?
248,Who is the chair of Turkish Film Critics Association currently?,Okan Arpac,NF,,,,Who is the chair of Turkish Film Critics Association currently?
249,Who is the chair of National Commission on Informatics and Liberty currently?,Marie-Laure Denis,Y,,,,Who is the chair of National Commission on Informatics and Liberty currently?
250,Who is the chair of Multilateral Investment Guarantee Agency currently?,Hiroshi Matano,Y,,,,Who is the chair of Multilateral Investment Guarantee Agency currently?
251,Who is the chair of Algerian Football Federation currently?,Walid Sadi,Y,,,,Who is the chair of Algerian Football Federation currently?
252,Who is the chair of Verein fur Socialpolitik currently?,Georg Weizsacker,NF,,,,Who is the chair of Verein für Socialpolitik currently?
253,Who is the chair of Federal Employment Agency of Germany currently?,Andrea Nahles,Y,,,,Who is the chair of Federal Employment Agency of Germany currently?
254,Who is the chair of Danish People's Party currently?,Morten Messerschmidt,Y,,,,Who is the chair of Danish People's Party currently?
255,Who is the chair of University of Perpignan currently?,Yvan Auguet,Y,,,,Who is the chair of University of Perpignan currently?
256,Who is the chair of Swedish Social Democratic Party currently?,Magdalena Andersson,Y,,,,Who is the chair of Swedish Social Democratic Party currently?
257,Who is the chair of Konrad Adenauer Foundation currently?,Norbert Lammert,Y,,,,Who is the chair of Konrad Adenauer Foundation currently?
258,Who is the chair of Conservative Party of Canada currently?,Andrew Scheer,Y,,,,Who is the chair of Conservative Party of Canada currently?
260,Who is the chair of Democrats 66 currently?,Victor Everhardt,Y,,,,Who is the chair of Democrats 66 currently?
261,Who is the chair of United States Department of Justice currently?,"Merrick Garland, William Barr",Y,,,,Who is the chair of United States Department of Justice currently?
262,Who is the chair of Women and Mathematics currently?,Anne Boye,NF,,,,Who is the chair of Women and Mathematics currently?
263,Who is the chair of Oesterreichische Nationalbank currently?,"Robert Holzmann, Harald Mahrer",Y,,,,Who is the chair of Oesterreichische Nationalbank currently?
265,Who is the chair of Gewerkschaft der Polizei currently?,Jochen Kopelke,Y,,,,Who is the chair of Gewerkschaft der Polizei currently?
266,Who is the chair of Social Democratic Party currently?,Lauri Laanemets,Y,,,,Who is the chair of Social Democratic Party currently?
267,Who is the chair of Conseil national du numerique currently?,"Gilles Babinet, Francoise Mercadal-Delasalles",Y,,,,Who is the chair of Conseil national du numérique currently?
268,Who is the chair of Saint Vincent Archabbey currently?,Martin Bartel,Y,,,,Who is the chair of Saint Vincent Archabbey currently?
269,Who is the chair of archdiocese of Gatineau currently?,Paul-Andre Durocher,Y,,,,Who is the chair of archdiocese of Gatineau currently?
270,Who is the chair of Workers' Party of Korea currently?,Kim Jong-un,Y,,,,Who is the chair of Workers' Party of Korea currently?
273,Who is the chair of Estonian Reform Party currently?,Kaja Kallas,Y,,,,Who is the chair of Estonian Reform Party currently?
276,Who is the chair of KDE e.V. currently?,Aleix Pol Gonzalez,Y,,,,Who is the chair of KDE e.V. currently?
277,Who is the chair of Corsican Assembly currently?,Marie-Antoinette Maupertuis,Y,,,,Who is the chair of Corsican Assembly currently?
278,Who is the chair of French Chess Federation currently?,Eloi Relange,Y,,,,Who is the chair of French Chess Federation currently?
279,Who is the chair of Arab League currently?,Ahmed Aboul Gheit,Y,,,,Who is the chair of Arab League currently?
280,Who is the chair of Federal Office for Information Security currently?,Claudia Plattner,Y,,,,Who is the chair of Federal Office for Information Security currently?
281,Who is the chair of National court for asylum right currently?,Mathieu Herondart,NF,,,,Who is the chair of National court for asylum right currently?
283,Who is the chair of Progressive Alliance of Socialists and Democrats currently?,Iratxe Garcia,Y,,,,Who is the chair of Progressive Alliance of Socialists and Democrats currently?
284,Who is the chair of Massachusetts Institute of Technology School of Engineering currently?,Anantha P. Chandrakasan,Y,,,,Who is the chair of Massachusetts Institute of Technology School of Engineering currently?
285,Who is the chair of Ministry of Climate and Environment currently?,Andreas Bjelland Eriksen,Y,,,,Who is the chair of Ministry of Climate and Environment currently?
286,Who is the chair of Ministry of Internal Affairs of Ukraine currently?,Ihor Klymenko,Y,,,,Who is the chair of Ministry of Internal Affairs of Ukraine currently?
288,Who is the chair of Landtag of Bavaria currently?,Ilse Aigner,Y,,,,Who is the chair of Landtag of Bavaria currently?
289,Who is the chair of French National Assembly currently?,Yael Braun-Pivet,Y,,,,Who is the chair of French National Assembly currently?
290,Who is the chair of Royal Galician Academy currently?,Victor Fernandez Freixanes,Y,,,,Who is the chair of Royal Galician Academy currently?
291,Who is the chair of Campaign Against Homophobia currently?,Slava Melnyk,Y,,,,Who is the chair of Campaign Against Homophobia currently?
292,Who is the chair of Souvenir napoleonien currently?,Guy Carrieu,Y,,,,Who is the chair of Souvenir napoléonien currently?
293,"Who is the chair of Embassy of Ukraine, Budapest currently?",Fedir Shandor,NF,,,,"Who is the chair of Embassy of Ukraine, Budapest currently?"
294,Who is the chair of PSL University currently?,Alain Fuchs,Y,,,,Who is the chair of PSL University currently?
295,Who is the chair of Leibniz Association currently?,Martina Brockmeier,Y,,,,Who is the chair of Leibniz Association currently?
296,Who is the chair of Senedd currently?,Elin Jones,Y,,,,Who is the chair of Senedd currently?
297,Who is the chair of United States Department of Energy currently?,Jennifer Granholm,Y,,,,Who is the chair of United States Department of Energy currently?
298,Who is the chair of State Duma currently?,Vyacheslav Volodin,Y,,,,Who is the chair of State Duma currently?
300,"Who is the chair of Roman Catholic Archdiocese of St. John's, Newfoundland currently?",Peter Joseph Hundt,Y,,,,"Who is the chair of Roman Catholic Archdiocese of St. John's, Newfoundland currently?"
301,Who is the chair of Ministry of Justice and Public Security of Norway currently?,Emilie Mehl,Y,,,,Who is the chair of Ministry of Justice and Public Security of Norway currently?
303,Who is the chair of MBDA currently?,Eric Beranger,Y,,,,Who is the chair of MBDA currently?
304,Who is the chair of Moderate Party currently?,Ulf Kristersson,Y,,,,Who is the chair of Moderate Party currently?
305,Who is the chair of National Council of Switzerland currently?,Eric Nussbaumer,Y,,,,Who is the chair of National Council of Switzerland currently?
306,Who is the chair of MIT Center for Information Systems Research currently?,Jeanne W. Ross,Y,,,,Who is the chair of MIT Center for Information Systems Research currently?
307,"Who is the chair of French Economic, Social and Environmental Council currently?",Thierry Beaudet,Y,,,,"Who is the chair of French Economic, Social and Environmental Council currently?"
308,Who is the chair of Atlantik-Brucke currently?,Sigmar Gabriel,NF,,,,Who is the chair of Atlantik-Brücke currently?
310,Who is the chair of European Central Bank currently?,Christine Lagarde,Y,,,,Who is the chair of European Central Bank currently?
311,Who is the chair of Paris Dauphine University currently?,E.M. Mouhoud,Y,,,,Who is the chair of Paris Dauphine University currently?
314,Who is the chair of Federal Chancellery currently?,Wolfgang Schmidt,Y,,,,Who is the chair of Federal Chancellery currently?
315,Who is the chair of Communist Party of China currently?,Xi Jinping,Y,,,,Who is the chair of Communist Party of China currently?
316,Who is the chair of Associazione Calcio Milan currently?,Paolo Scaroni,Y,,,,Who is the chair of Associazione Calcio Milan currently?
317,Who is the chair of Verkhovna Rada currently?,Ruslan Stefanchuk,Y,,,,Who is the chair of Verkhovna Rada currently?
319,Who is the chair of United States Department of the Interior currently?,Deb Haaland,Y,,,,Who is the chair of United States Department of the Interior currently?
320,Who is the chair of Spanish Ombudsman currently?,Angel Gabilondo,Y,,,,Who is the chair of Spanish Ombudsman currently?
321,Who was the previous chair of Ministry of Health Population and Hospital Reform?,Abderrahmane Benbouzid,Y,,,,Who was the previous chair of Ministry of Health Population and Hospital Reform?
322,Who is the chair of The Jewish Home currently?,Hagit Moshe,Y,,,,Who is the chair of The Jewish Home currently?
324,Who is the chair of GroenLinks currently?,Katinka Eikelenboom,Y,,,,Who is the chair of GroenLinks currently?
326,Who is the chair of Sweet Briar College currently?,Meredith Jung-En Woo,Y,,,,Who is the chair of Sweet Briar College currently?
328,Who is the chair of Asociacion de Victimas del Terrorismo currently?,Maite Araluce,Y,,,,Who is the chair of Asociación de Víctimas del Terrorismo currently?
329,Who is the chair of Mossad currently?,David Barnea,Y,,,,Who is the chair of Mossad currently?
330,Who is the chair of TOP 09 currently?,Marketa Pekarova Adamova,Y,,,,Who is the chair of TOP 09 currently?
332,Who is the chair of Roman Catholic Diocese of Calgary currently?,William Terrence McGrattan,Y,,,,Who is the chair of Roman Catholic Diocese of Calgary currently?
334,Who is the chair of Association Guillaume Bude currently?,Michel Fartzoff,NF,,,,Who is the chair of Association Guillaume Budé currently?
336,"Who is the chair of Embassy of Ukraine, Bratislava currently?",Yuriy Mushka,Y,,,,"Who is the chair of Embassy of Ukraine, Bratislava currently?"
337,Who is the chair of Organisation of Islamic Cooperation currently?,Hissein Brahim Sem Taha,Y,,,,Who is the chair of Organisation of Islamic Cooperation currently?
338,Who is the chair of Oregon State University currently?,Jayathi Murthy,Y,,,,Who is the chair of Oregon State University currently?
340,Who is the chair of Belarusian Social Democratic Party (Assembly) currently?,Ihar Barysau,Y,,,,Who is the chair of Belarusian Social Democratic Party (Assembly) currently?
341,Who is the chair of Liberal Party of Canada currently?,Justin Trudeau,Y,,,,Who is the chair of Liberal Party of Canada currently?
343,Who is the chair of Academia Chilena de la Lengua currently?,Adriana Valdes,Y,,,,Who is the chair of Academia Chilena de la Lengua currently?
344,Who is the chair of Swiss Red Cross currently?,Thomas Zeltner,Y,,,,Who is the chair of Swiss Red Cross currently?
345,Who is the chair of Czech Helsinki Comitee currently?,Vaclav Vlk,NF,,,,Who is the chair of Czech Helsinki Comitee currently?
347,Who is the chair of Italian Athletics Federation currently?,Stefano Mei,Y,,,,Who is the chair of Italian Athletics Federation currently?
348,Who is the chair of Hofstra University currently?,Susan Poser,Y,,,,Who is the chair of Hofstra University currently?
349,Who is the chair of La Famiglia Bustocca currently?,Mariella Toia,Y,,,,Who is the chair of La Famiglia Bustocca currently?
350,"Who is the chair of Embassy of Ukraine, Sofia currently?",Moskalenko Vitalij Anatolijovic,Y,,,,"Who is the chair of Embassy of Ukraine, Sofia currently?"
351,Who is the chair of Institut francais currently?,Eva Nguyen Binh,Y,,,,Who is the chair of Institut français currently?
352,Who is the chair of United States Intelligence Community currently?,Avril Haines,Y,,,,Who is the chair of United States Intelligence Community currently?
353,Who is the chair of European Bank for Reconstruction and Development currently?,Odile Renaud-Basso,Y,,,,Who is the chair of European Bank for Reconstruction and Development currently?
356,Who is the chair of Christian Social People's Party currently?,Luc Frieden,Y,,,,Who is the chair of Christian Social People's Party currently?
358,Who is the chair of Ministry of Health and Welfare currently?,Park Neung-hoo,Y,,,,Who is the chair of Ministry of Health and Welfare currently?
