,Questions,Reference Answers,Annotation,Added the right names if they were wrong or additional names if they were missed out or any added comments. ,"In this task, you have verify if the reference answers are correct with respect to the current world knowledge. If your answer matches atleast one of the reference answers, then it is correct. 
Please use Wikipedia (infoboxes contain most answers) primarily for finding the answers. 
If you don't find it on Wikipedia, you may use any news source or basic google search.",question_keys
27,Who is the head of the government of Russelsheim am Main currently?,Udo Bausch,Y,,,Who is the head of the government of Russelsheim am Main currently?
28,Who is the head of the government of la Garrotxa currently?,Santi Reixach Garriga,Y,,,Who is the head of the government of la Garrotxa currently?
29,Who is the head of the government of Alaquas currently?,Antonio Saura Martin,Y,,,Who is the head of the government of Alaquas currently?
30,Who is the head of the government of Dordrecht currently?,Wouter Kolff,Y,,,Who is the head of the government of Dordrecht currently?
31,Who is the head of the government of Moldova currently?,Dorin Recean,Y,Prime Minister is Dorin Recean & President is Maia Sandu,,Who is the head of the government of Moldova currently?
32,Who is the head of the government of Saudi Arabia currently?,Salman bin Abdulaziz Al Saud,Y,King of Saudi Arabia is Salman bin Abdulaziz Al Saud & Mohammed bin Salman Al Saud  is the ruler,,Who is the head of the government of Saudi Arabia currently?
33,Who is the head of the government of Pennsylvania currently?,Josh Shapiro,Y,,,Who is the head of the government of Pennsylvania currently?
34,Who is the head of the government of Douai currently?,Frederic Chereau,Y,,,Who is the head of the government of Douai currently?
35,Who is the head of the government of Gentofte Municipality currently?,Michael Fenger,Y,,,Who is the head of the government of Gentofte Municipality currently?
36,Who is the head of the government of Frederiksberg Municipality currently?,Michael Vindfeldt,Y,,,Who is the head of the government of Frederiksberg Municipality currently?
37,Who is the head of the government of Wilmington currently?,Mike Purzycki,Y,,,Who is the head of the government of Wilmington currently?
38,Who is the head of the government of India currently?,Narendra Modi,Y,,,Who is the head of the government of India currently?
39,Who is the head of the government of Catalonia currently?,Pere Aragones,Y,,,Who is the head of the government of Catalonia currently?
40,Who is the head of the government of Sighisoara currently?,Ioan-Iulian Sirbu,Y,,,Who is the head of the government of Sighisoara currently?
41,Who is the head of the government of Rennes currently?,Nathalie Appere,Y,,,Who is the head of the government of Rennes currently?
42,Who is the head of the government of Slovenia currently?,Robert Golob,Y,,,Who is the head of the government of Slovenia currently?
43,Who is the head of the government of Aniche currently?,Xavier Bartoszek,Y,,,Who is the head of the government of Aniche currently?
44,Who is the head of the government of Bourges currently?,Yann Galut,Y,,,Who is the head of the government of Bourges currently?
46,Who is the head of the government of Amstelveen currently?,Tjapko Poppens,Y,,,Who is the head of the government of Amstelveen currently?
47,Who is the head of the government of Ouder-Amstel currently?,Joyce Langenacker,Y,,,Who is the head of the government of Ouder-Amstel currently?
48,Who is the head of the government of Grodersby currently?,Helmut Andresen,Y,,,Who is the head of the government of Grodersby currently?
49,Who is the head of the government of Kristiansand currently?,Mathias Bernander,Y,,,Who is the head of the government of Kristiansand currently?
50,Who is the head of the government of Leudelange currently?,Diane Feipel,NF,,,Who is the head of the government of Leudelange currently?
51,Who is the head of the government of Berlin currently?,Kai Wegner,Y,,,Who is the head of the government of Berlin currently?
52,Who is the head of the government of Vadso currently?,Wenche Pedersen,Y,,,Who is the head of the government of Vadso currently?
53,Who is the head of the government of Bujoru currently?,Ginel Sorin Avram,NF,,,Who is the head of the government of Bujoru currently?
54,Who is the head of the government of Hesse currently?,Boris Rhein,Y,,,Who is the head of the government of Hesse currently?
55,Who is the head of the government of Manila currently?,Honey Lacuna,Y,,,Who is the head of the government of Manila currently?
56,Who is the head of the government of Montalban de Cordoba currently?,Miguel Ruz Salces,Y,,,Who is the head of the government of Montalban de Cordoba currently?
57,Who is the head of the government of Schleswig-Holstein currently?,Daniel Gunther,Y,Second Cabinet of Daniel Günther ,,Who is the head of the government of Schleswig-Holstein currently?
58,Who is the head of the government of Saint-Martin-de-Crau currently?,Christophe Laufray,Y,,,Who is the head of the government of Saint-Martin-de-Crau currently?
59,Who is the head of the government of Saint-Etienne Metropole currently?,Gael Perdriau,Y,,,Who is the head of the government of Saint-Etienne Metropole currently?
60,Who is the head of the government of Krasnoyarsk currently?,Sergey Yeryomin,Y,,,Who is the head of the government of Krasnoyarsk currently?
62,Who is the head of the government of Saint Petersburg currently?,Alexander Beglov,Y,,,Who is the head of the government of Saint Petersburg currently?
64,Who is the head of the government of Chislaz currently?,George Dorin Bezi,NF,,,Who is the head of the government of Chislaz currently?
66,Who is the head of the government of West Maas en Waal currently?,Vincent van Neerbos,Y,,,Who is the head of the government of West Maas en Waal currently?
67,Who is the head of the government of Atlanta currently?,Andre Dickens,Y,,,Who is the head of the government of Atlanta currently?
68,Who is the head of the government of Tasnad currently?,Adrian-Danut Farcau,Y,,,Who is the head of the government of Tasnad currently?
69,Who is the head of the government of Cologne currently?,Henriette Reker,Y,,,Who is the head of the government of Cologne currently?
70,Who is the head of the government of Glostrup Municipality currently?,Kasper Damsgaard,Y,,,Who is the head of the government of Glostrup Municipality currently?
71,Who is the head of the government of Luizi-Calugara currently?,Edmond-Leonard David,NF,,,Who is the head of the government of Luizi-Calugara currently?
72,Who is the head of the government of Kernen im Remstal currently?,Benedikt Paulowitsch,NF,,,Who is the head of the government of Kernen im Remstal currently?
74,Who is the head of the government of Asturias currently?,Adrian Barbon Rodriguez,Y,,,Who is the head of the government of Asturias currently?
76,Who is the head of the government of Roskilde Municipality currently?,Tomas Breddam,Y,Thomas Breddam,,Who is the head of the government of Roskilde Municipality currently?
78,Who is the head of the government of Noyelles-les-Vermelles currently?,Bruno Trache,Y,,,Who is the head of the government of Noyelles-les-Vermelles currently?
81,Who is the head of the government of Vladivostok currently?,Konstantin Shestakov,Y,,,Who is the head of the government of Vladivostok currently?
83,Who is the head of the government of Hsinchu County currently?,Yang Wen-ke,Y,,,Who is the head of the government of Hsinchu County currently?
84,Who is the head of the government of Chailly-sur-Armancon currently?,Bernard Chalon,Y,,,Who is the head of the government of Chailly-sur-Armancon currently?
85,Who is the head of the government of Avesnes-le-Sec currently?,"Claude Regniez, Alphonse Bury",Y,,,Who is the head of the government of Avesnes-le-Sec currently?
86,Who is the head of the government of Botosani currently?,Cosmin-Ionut Andrei,Y,,,Who is the head of the government of Botosani currently?
87,Who is the head of the government of Dinard currently?,Arnaud Salmon,Y,,,Who is the head of the government of Dinard currently?
88,Who is the head of the government of Mumbai currently?,Iqbal Singh Chahal,Y,,,Who is the head of the government of Mumbai currently?
89,Who is the head of the government of Pomi currently?,Cosmin-Ionel Krisan,NF,,,Who is the head of the government of Pomi currently?
91,Who is the head of the government of Navarre currently?,Maria Chivite,Y,,,Who is the head of the government of Navarre currently?
93,Who is the head of the government of Nicseni currently?,Victor-Claudiu Bulboaca,NF,,,Who is the head of the government of Nicseni currently?
94,Who is the head of the government of Villers-Plouich currently?,Pascal Bruniaux,Y,,,Who is the head of the government of Villers-Plouich currently?
95,Who is the head of the government of Erftstadt currently?,Carolin Weitzel,Y,,,Who is the head of the government of Erftstadt currently?
96,Who is the head of the government of Wiesbaden currently?,Gert-Uwe Mende,Y,,,Who is the head of the government of Wiesbaden currently?
97,Who is the head of the government of Mauritania currently?,Mohamed Ould Bilal,Y,,,Who is the head of the government of Mauritania currently?
98,Who is the head of the government of Eugene currently?,Lucy Vinis,Y,,,Who is the head of the government of Eugene currently?
99,Who is the head of the government of Heilongjiang currently?,Liang Huiling,Y,,,Who is the head of the government of Heilongjiang currently?
100,Who is the head of the government of Kopstal currently?,Thierry Schuman,NF,,,Who is the head of the government of Kopstal currently?
101,Who is the head of the government of The Hague currently?,Jan van Zanen,Y,,,Who is the head of the government of The Hague currently?
102,Who is the head of the government of Bahna currently?,Gheorghe Patrascu,Y,,,Who is the head of the government of Bahna currently?
103,Who is the head of the government of Norfolk currently?,Kenneth Cooper Alexander,Y,,,Who is the head of the government of Norfolk currently?
104,Who is the head of the government of Graz currently?,Elke Kahr,Y,,,Who is the head of the government of Graz currently?
105,Who is the head of the government of Nur-Sultan currently?,Altai Kolginov,Y,,,Who is the head of the government of Nur-Sultan currently?
106,Who is the head of the government of Pardubice Region currently?,Martin Netolicky,Y,,,Who is the head of the government of Pardubice Region currently?
107,Who is the head of the government of Istanbul currently?,Ekrem Imamoglu,N ,,,Who is the head of the government of Istanbul currently?
109,Who is the head of the government of Le Bourget currently?,Jean-Baptiste Borsali,Y,,,Who is the head of the government of Le Bourget currently?
110,Who is the head of the government of Bruay-la-Buissiere currently?,Ludovic Pajot,Y,,,Who is the head of the government of Bruay-la-Buissiere currently?
112,Who is the head of the government of Gratangen currently?,Anita Karlsen,Y,,,Who is the head of the government of Gratangen currently?
113,Who is the head of the government of Ferin currently?,Michel Pederencino,Y,,,Who is the head of the government of Ferin currently?
114,Who is the head of the government of Sudwest-Fryslan currently?,Jannewietske de Vries,Y,,,Who is the head of the government of Sudwest-Fryslan currently?
115,Who is the head of the government of Mykolaiv Oblast currently?,Vitalii Kim,Y,,,Who is the head of the government of Mykolaiv Oblast currently?
116,Who is the head of the government of Helsingor Municipality currently?,Benedikte Kiaer,Y,,,Who is the head of the government of Helsingor Municipality currently?
118,Who is the head of the government of Tingvoll currently?,Ingrid Waagen,Y,,,Who is the head of the government of Tingvoll currently?
121,Who is the head of the government of Kosovo currently?,Albin Kurti,Y,,,Who is the head of the government of Kosovo currently?
122,Who is the head of the government of Iasi currently?,Mihai Chirica,Y,,,Who is the head of the government of Iasi currently?
123,Who is the head of the government of Lyngby-Taarbaek Municipality currently?,Sofia Osmani,Y,,,Who is the head of the government of Lyngby-Taarbaek Municipality currently?
125,Who is the head of the government of Weilheim-Schongau currently?,Andrea Jochner-Weiss,Y,,,Who is the head of the government of Weilheim-Schongau currently?
128,Who is the head of the government of Primorsky Krai currently?,Oleg Kozhemyako,Y,,,Who is the head of the government of Primorsky Krai currently?
129,Who is the head of the government of Boise currently?,Lauren McLean,Y,,,Who is the head of the government of Boise currently?
130,Who is the head of the government of Heilbronn currently?,Harry Mergel,Y,,,Who is the head of the government of Heilbronn currently?
131,Who is the head of the government of Sector 1 currently?,Clotilde Armand,Y,,,Who is the head of the government of Sector 1 currently?
132,Who is the head of the government of Mexico currently?,Andres Manuel Lopez Obrador,Y,,,Who is the head of the government of Mexico currently?
133,Who is the head of the government of Meudon currently?,Denis Larghero,Y,,,Who is the head of the government of Meudon currently?
134,Who is the head of the government of Community of Madrid currently?,Isabel Diaz Ayuso,Y,,,Who is the head of the government of Community of Madrid currently?
135,Who is the head of the government of Hradec Kralove currently?,Pavlina Springerova,Y,,,Who is the head of the government of Hradec Kralove currently?
137,Who is the head of the government of Vestre Slidre currently?,Haldor Odegard,Y,,,Who is the head of the government of Vestre Slidre currently?
138,Who is the head of the government of Almaty currently?,Erbolat Dosaev,Y,,,Who is the head of the government of Almaty currently?
139,Who is the head of the government of Ukraine currently?,Denys Shmyhal,Y,President: Volodymyr Zelenskyy,,Who is the head of the government of Ukraine currently?
140,Who is the head of the government of Vesthimmerland Municipality currently?,Per Bach Laursen,Y,,,Who is the head of the government of Vesthimmerland Municipality currently?
141,Who is the head of the government of France currently?,Gabriel Attal,Y,President: 	Emmanuel Macron,,Who is the head of the government of France currently?
142,Who is the head of the government of Freiburg im Breisgau currently?,Martin Horn,Y,,,Who is the head of the government of Freiburg im Breisgau currently?
143,Who is the head of the government of Sector 6 currently?,Ciprian Ciucu,Y,,,Who is the head of the government of Sector 6 currently?
144,Who is the head of the government of Sector 5 currently?,Cristian Popescu Piedone,Y,,,Who is the head of the government of Sector 5 currently?
145,Who is the head of the government of Burundi currently?,Gervais Ndirakobuca,Y,President: Évariste Ndayishimiye,,Who is the head of the government of Burundi currently?
146,Who is the head of the government of Balti currently?,"Aleksandr Petkov, Nikolay Grigorishin",Y,,,Who is the head of the government of Balti currently?
147,Who is the head of the government of Lyon currently?,Gregory Doucet,Y,,,Who is the head of the government of Lyon currently?
149,Who is the head of the government of Aachen currently?,Sibylle Keupen,Y,,,Who is the head of the government of Aachen currently?
150,Who is the head of the government of Iran currently?,Ebrahim Raisi,Y,,,Who is the head of the government of Iran currently?
151,Who is the head of the government of Modum currently?,Sunni Grondahl Aamodt,Y,,,Who is the head of the government of Modum currently?
152,Who is the head of the government of Bat Yam currently?,Tzvika Brot,Y,,,Who is the head of the government of Bat Yam currently?
154,Who is the head of the government of Castile and Leon currently?,Alfonso Fernando Fernandez Manueco,Y,,,Who is the head of the government of Castile and Leon currently?
155,Who is the head of the government of Saint-Etienne currently?,Gael Perdriau,Y,,,Who is the head of the government of Saint-Etienne currently?
156,Who is the head of the government of Tibanesti currently?,Neculai Munteanu,NF,,,Who is the head of the government of Tibanesti currently?
158,Who is the head of the government of Lourches currently?,Dalila Duwez-Guesmia,Y,,,Who is the head of the government of Lourches currently?
159,Who is the head of the government of Langeland Municipality currently?,Tonni Hansen,Y,,,Who is the head of the government of Langeland Municipality currently?
161,Who is the head of the government of Saint-Brieuc Armor Agglomeration currently?,Ronan Kerdraon,NF,,,Who is the head of the government of Saint-Brieuc Armor Agglomeration currently?
162,Who is the head of the government of Arleux currently?,Bruno Vandeville,Y,,,Who is the head of the government of Arleux currently?
163,Who is the head of the government of North West currently?,Bushy Maape,Y,,,Who is the head of the government of North West currently?
164,Who is the head of the government of Alcoi / Alcoy currently?,Antonio Frances Perez,Y,,,Who is the head of the government of Alcoi / Alcoy currently?
165,Who is the head of the government of Salzburg currently?,Harald Preuner,Y,,,Who is the head of the government of Salzburg currently?
167,Who is the head of the government of Kremenchuk currently?,Vitalii Maletskyi,Y,,,Who is the head of the government of Kremenchuk currently?
168,Who is the head of the government of Chisinau currently?,Ion Ceban,Y,,,Who is the head of the government of Chisinau currently?
169,Who is the head of the government of Fantanele currently?,Nicolae Dolha,NF,,,Who is the head of the government of Fantanele currently?
170,Who is the head of the government of Piestany currently?,Peter Jancovic,Y,,,Who is the head of the government of Piestany currently?
171,Who is the head of the government of Mainz currently?,Nino Haase,Y,,,Who is the head of the government of Mainz currently?
173,Who is the head of the government of Geneva currently?,Alfonso Gomez Cruz,Y,,,Who is the head of the government of Geneva currently?
174,Who is the head of the government of O Rosal currently?,Anxela Fernandez Callis,Y,,,Who is the head of the government of O Rosal currently?
178,Who is the head of the government of Tilloy-lez-Marchiennes currently?,Marie Cau,Y,,,Who is the head of the government of Tilloy-lez-Marchiennes currently?
179,Who is the head of the government of Molenbeek-Saint-Jean currently?,Catherine Moureaux,Y,,,Who is the head of the government of Molenbeek-Saint-Jean currently?
180,Who is the head of the government of Tydal currently?,Jens Arne Kvello,Y,,,Who is the head of the government of Tydal currently?
181,Who is the head of the government of Boston currently?,Michelle Wu,Y,,,Who is the head of the government of Boston currently?
182,Who is the head of the government of Copenhagen Municipality currently?,Sophie Haestorp Andersen,Y,,,Who is the head of the government of Copenhagen Municipality currently?
183,Who is the head of the government of Lubeck currently?,Jan Lindenau,Y,,,Who is the head of the government of Lubeck currently?
184,Who is the head of the government of Marseille currently?,Benoit Payan,Y,,,Who is the head of the government of Marseille currently?
185,Who is the head of the government of Sonderborg Municipality currently?,Erik Lauritzen,Y,,,Who is the head of the government of Sonderborg Municipality currently?
186,Who is the head of the government of Spain currently?,Pedro Sanchez,Y,,,Who is the head of the government of Spain currently?
187,Who is the head of the government of Fouquieres-les-Lens currently?,Donata Hochart,Y,,,Who is the head of the government of Fouquieres-les-Lens currently?
188,Who is the head of the government of Verona currently?,Damiano Tommasi,Y,,,Who is the head of the government of Verona currently?
189,Who is the head of the government of Russia currently?,Mikhail Mishustin,Y,,,Who is the head of the government of Russia currently?
190,Who is the head of the government of Romania currently?,Marcel Ciolacu,Y,,,Who is the head of the government of Romania currently?
191,Who is the head of the government of Esch-sur-Alzette currently?,Christian Weis,Y,,,Who is the head of the government of Esch-sur-Alzette currently?
192,Who is the head of the government of Petris currently?,Ionel Gheorghe Berari,Y,,,Who is the head of the government of Petris currently?
193,Who is the head of the government of Vienna currently?,Michael Ludwig,Y,,,Who is the head of the government of Vienna currently?
194,Who is the head of the government of Poland currently?,Donald Tusk,Y,,,Who is the head of the government of Poland currently?
195,Who is the head of the government of Prats de Llucanes currently?,Jordi Bruch i Franch,Y,,,Who is the head of the government of Prats de Llucanes currently?
196,Who is the head of the government of Budapest District XI currently?,Imre Laszlo,NF,,,Who is the head of the government of Budapest District XI currently?
197,Who is the head of the government of Hasnon currently?,Andre Desmedt,Y,,,Who is the head of the government of Hasnon currently?
199,Who is the head of the government of Plzen currently?,Roman Zarzycky,Y,,,Who is the head of the government of Plzen currently?
200,Who is the head of the government of Kerteminde Municipality currently?,Kasper Ejsing Olesen,Y,,,Who is the head of the government of Kerteminde Municipality currently?
202,Who is the head of the government of Chicago currently?,Brandon Johnson,Y,,,Who is the head of the government of Chicago currently?
204,Who is the head of the government of Dochia currently?,Iulian-Cornel Iacob,Y,,,Who is the head of the government of Dochia currently?
205,Who is the head of the government of Georgia currently?,Irakli Kobakhidze,Y,,,Who is the head of the government of Georgia currently?
207,Who is the head of the government of Darabani currently?,Mihai-Alin Girbaci,Y,,,Who is the head of the government of Darabani currently?
208,Who is the head of the government of Muhldorf am Inn currently?,Michael Hetzl,Y,,,Who is the head of the government of Muhldorf am Inn currently?
210,Who is the head of the government of Canada currently?,Justin Trudeau,Y,,,Who is the head of the government of Canada currently?
211,Who is the head of the government of Region Zealand currently?,Heino Knudsen,Y,,,Who is the head of the government of Region Zealand currently?
212,Who is the head of the government of Free Hanseatic City of Bremen currently?,Andreas Bovenschulte,Y,,,Who is the head of the government of Free Hanseatic City of Bremen currently?
213,Who is the head of the government of Sant Fost de Campsentelles currently?,Montserrat Sanmarti Pratginestos,Y,,,Who is the head of the government of Sant Fost de Campsentelles currently?
215,Who is the head of the government of Dortmund currently?,Thomas Westphal,Y,,,Who is the head of the government of Dortmund currently?
216,Who is the head of the government of Arnhem currently?,Ahmed Marcouch,Y,,,Who is the head of the government of Arnhem currently?
217,Who is the head of the government of Addis Ababa currently?,Adanech Abebe,Y,,,Who is the head of the government of Addis Ababa currently?
219,Who is the head of the government of Greenland currently?,Mute Bourup Egede,Y,,,Who is the head of the government of Greenland currently?
220,Who is the head of the government of Quezon City currently?,Joy Belmonte,Y,,,Who is the head of the government of Quezon City currently?
221,Who is the head of the government of Bremerhaven currently?,Melf Grantz,Y,,,Who is the head of the government of Bremerhaven currently?
222,Who is the head of the government of Germany currently?,Olaf Scholz,Y,President is Frank-Walter Steinmeier and the chancellor is Olaf Scholz,,Who is the head of the government of Germany currently?
223,Who is the head of the government of Nuremberg currently?,Marcus Konig,Y,,,Who is the head of the government of Nuremberg currently?
224,Who is the head of the government of Osaka Prefecture currently?,Hirofumi Yoshimura,Y,,,Who is the head of the government of Osaka Prefecture currently?
225,Who is the head of the government of Vintu de Jos currently?,Petru-Ioan Barbu,Y,,,Who is the head of the government of Vintu de Jos currently?
226,Who is the head of the government of Miskolc currently?,Pal Veres,Y,,,Who is the head of the government of Miskolc currently?
227,Who is the head of the government of Rasnov currently?,Liviu-Calin Butnariu,Y,,,Who is the head of the government of Rasnov currently?
228,Who is the head of the government of Lannemezan currently?,Bernard Plano,Y,,,Who is the head of the government of Lannemezan currently?
229,Who is the head of the government of Belgium currently?,Alexander De Croo,Y,,,Who is the head of the government of Belgium currently?
230,Who is the head of the government of Isabela currently?,Rodolfo T. Albano III,Y,,,Who is the head of the government of Isabela currently?
231,Who is the head of the government of Besancon currently?,Anne Vignot,Y,,,Who is the head of the government of Besancon currently?
232,Who is the head of the government of Zorlentu Mare currently?,Ion-Marius Isfan,Y,,,Who is the head of the government of Zorlentu Mare currently?
233,Who is the head of the government of Kyoto Prefecture currently?,Takatoshi Nishiwaki,Y,,,Who is the head of the government of Kyoto Prefecture currently?
234,Who is the head of the government of Balassagyarmat currently?,Gabor Csach,Y,,,Who is the head of the government of Balassagyarmat currently?
235,Who is the head of the government of Hong Kong currently?,John Lee,Y,,,Who is the head of the government of Hong Kong currently?
236,Who is the head of the government of Nantou County currently?,Lin Ming-chen,Y,,,Who is the head of the government of Nantou County currently?
237,Who is the head of the government of Brno currently?,Marketa Vankova,Y,,,Who is the head of the government of Brno currently?
238,Who is the head of the government of Aulnay-sous-Bois currently?,Bruno Beschizza,Y,,,Who is the head of the government of Aulnay-sous-Bois currently?
239,Who is the head of the government of Varghis currently?,Lajos Imets,Y,,,Who is the head of the government of Varghis currently?
240,Who is the head of the government of Keelung currently?,Hsieh Kuo-liang,Y,,,Who is the head of the government of Keelung currently?
241,Who is the head of the government of Skanderborg Municipality currently?,Frands Fischer,Y,,,Who is the head of the government of Skanderborg Municipality currently?
242,Who is the head of the government of Brandenburg an der Havel currently?,Steffen Scheller,Y,,,Who is the head of the government of Brandenburg an der Havel currently?
243,Who is the head of the government of Jonkoping County currently?,Helena Jonsson,Y,,,Who is the head of the government of Jonkoping County currently?
244,Who is the head of the government of Rebreuve-Ranchicourt currently?,Danielle Mannessiez,Y,,,Who is the head of the government of Rebreuve-Ranchicourt currently?
245,Who is the head of the government of Nomain currently?,Pascal Delplanque,Y,,,Who is the head of the government of Nomain currently?
246,Who is the head of the government of Ziduri currently?,Viorel Buzea,Y,,,Who is the head of the government of Ziduri currently?
247,Who is the head of the government of Nizhny Novgorod currently?,Yury Shalabayev,Y,,,Who is the head of the government of Nizhny Novgorod currently?
248,Who is the head of the government of KwaZulu-Natal currently?,Nomusa Dube-Mncube,Y,,,Who is the head of the government of KwaZulu-Natal currently?
249,Who is the head of the government of Odense Municipality currently?,Peter Rahbaek Juel,Y,,,Who is the head of the government of Odense Municipality currently?
250,Who is the head of the government of Uruguay currently?,Luis Lacalle Pou,Y,,,Who is the head of the government of Uruguay currently?
251,Who is the head of the government of Hamburg currently?,Peter Tschentscher,Y,,,Who is the head of the government of Hamburg currently?
253,Who is the head of the government of London currently?,Sadiq Khan,Y,,,Who is the head of the government of London currently?
254,Who is the head of the government of Pakistan currently?,Shehbaz Sharif,Y,,,Who is the head of the government of Pakistan currently?
255,Who is the head of the government of Ghidfalau currently?,Erno Jancso,Y,,,Who is the head of the government of Ghidfalau currently?
256,Who is the head of the government of Sanpetru de Campie currently?,Spiru-Serban Craciun,NF,,,Who is the head of the government of Sanpetru de Campie currently?
257,Which political party does James Marape belong to currently?,Pangu Party,Y,,,Which political party does James Marape belong to currently?
259,Which political party does Peadar Toibin belong to currently?,Aontu,Y,,,Which political party does Peadar Tóibín belong to currently?
260,Which political party does Antonio Denarium belong to currently?,Progressive Party,Y,,,Which political party does Antonio Denarium belong to currently?
261,Which political party does Joao Vicente Goulart belong to currently?,Communist Party of Brazil,Y,,,Which political party does João Vicente Goulart belong to currently?
262,Which political party does Maya Manolova belong to currently?,Stand Up.BG.,Y,,,Which political party does Maya Manolova belong to currently?
263,Which political party does Calin Popescu-Tariceanu belong to currently?,Alliance of Liberals and Democrats Party,Y,,,Which political party does Călin Popescu-Tăriceanu belong to currently?
265,Which political party does Fu Kun-chi belong to currently?,Kuomintang,Y,,,Which political party does Fu Kun-chi belong to currently?
266,Which political party does Martin Bursik belong to currently?,Liberal-Environmental Party,Y,,,Which political party does Martin Bursík belong to currently?
267,Which political party does Mattias Tesfaye belong to currently?,Social Democrats,Y,,,Which political party does Mattias Tesfaye belong to currently?
268,Which political party does Said Ahamada belong to currently?,"Territories of Progress, Renaissance",Y,,,Which political party does Saïd Ahamada belong to currently?
269,Which political party does Ingebjorg Godskesen belong to currently?,Pensioners' Party,Y,,,Which political party does Ingebjørg Godskesen belong to currently?
270,Which political party does Manu Sareen belong to currently?,Social Democrats,Y,Social Liberal Party,,Which political party does Manu Sareen belong to currently?
271,Which political party does Varujan Vosganian belong to currently?,Alliance of Liberals and Democrats Party,Y,,,Which political party does Varujan Vosganian belong to currently?
272,Which political party does Mircea Chelaru belong to currently?,Romanian Nationhood Party,Y,,,Which political party does Mircea Chelaru belong to currently?
273,Which political party does Elena Kountoura belong to currently?,SYRIZA,Y,,,Which political party does Elena Kountoura belong to currently?
274,Which political party does Jair Bolsonaro belong to currently?,Liberal Party,Y,,,Which political party does Jair Bolsonaro belong to currently?
275,Which political party does Pavlos Polakis belong to currently?,SYRIZA,Y,,,Which political party does Pavlos Polakis belong to currently?
276,Which political party does Ivan Stefanec belong to currently?,Christian Democratic Movement,Y,,,Which political party does Ivan Štefanec belong to currently?
277,Which political party does Avelino Mendez Rangel belong to currently?,National Regeneration Movement,Y,,,Which political party does Avelino Méndez Rangel belong to currently?
279,Which political party does Giuseppe Civati belong to currently?,Possible,Y,,,Which political party does Giuseppe Civati belong to currently?
280,Which political party does Ferenc Gyurcsany belong to currently?,Democratic Coalition,Y,,,Which political party does Ferenc Gyurcsány belong to currently?
281,Which political party does Daniela Sbrollini belong to currently?,Italy Alive,Y,,,Which political party does Daniela Sbrollini belong to currently?
282,Which political party does Elly Schlein belong to currently?,"Green Italy, Democratic Party",Y,,,Which political party does Elly Schlein belong to currently?
283,Which political party does Frantisek Laudat belong to currently?,Club of Committed Non-Party Members,Y,,,Which political party does František Laudát belong to currently?
