Questions,Reference Answers,Correct? Y/N/ NF,"Y = yes, N = no, NF = not found"
Who was the previous head of the government of Moldova?,Natalia Gavrilita,Y,
Who was the previous head of the government of Saudi Arabia?,Abdullah of Saudi Arabia,Y,
Who was the previous head of the government of Pennsylvania?,Tom Wolf,Y,
Who was the previous head of the government of Douai?,Jacques Vernier,Y,
Who was the previous head of the government of Gentofte Municipality?,Hans Toft,Y,
Who was the previous head of the government of Frederiksberg Municipality?,Simon Aggesen,Y,
Who was the previous head of the government of Wilmington?,Dennis P. Williams,Y,
Who was the previous head of the government of India?,Manmohan Singh,Y,
Who was the previous head of the government of Catalonia?,Quim Torra,Y,
Who was the previous head of the government of Sighisoara?,Ovidiu-Dumitru Malancravean,Y,
Who was the previous head of the government of Rennes?,Daniel Delaveau,Y,
Who was the previous head of the government of Slovenia?,Janez Jansa,Y,
Who was the previous head of the government of Aniche?,Marc Hemez,Y,
Who was the previous head of the government of Bourges?,Pascal Blanc,Y,
Who was the previous head of the government of Minsk?,Anatol Sivak,Y,
Who was the previous head of the government of Amstelveen?,Bas Eenhoorn,Y,
Who was the previous head of the government of Ouder-Amstel?,Mieke Blankers-Kasbergen,Y,
Who was the previous head of the government of Grodersby?,Ernst Detlef Mangelsen,Y,
Who was the previous head of the government of Kristiansand?,Jan Oddvar Skisland,Y,
Who was the previous head of the government of Leudelange?,Rob Roemen,Y,
Who was the previous head of the government of Berlin?,Franziska Giffey,Y,
Who was the previous head of the government of Vadso?,Hans-Jacob Bona,Y,
Who was the previous head of the government of Bujoru?,Gica Sirbu,NF,
Who was the previous head of the government of Hesse?,Volker Bouffier,Y,
Who was the previous head of the government of Manila?,Isko Moreno,Y,
Who was the previous head of the government of Montalban de Cordoba?,Jose Canero Morales,Y,
Who was the previous head of the government of Schleswig-Holstein?,Torsten Albig,Y,
Who was the previous head of the government of Saint-Martin-de-Crau?,Marie-Rose Lexcellent,Y,
Who was the previous head of the government of Saint-Etienne Metropole?,Maurice Vincent,Y,
Who was the previous head of the government of Krasnoyarsk?,Edkham Akbulatov,Y,
Who was the previous head of the government of Somalia?,Mahdi Mohammed Gulaid,Y,
Who was the previous head of the government of Saint Petersburg?,Georgy Poltavchenko,Y,
Who was the previous head of the government of Zaporizhzhia?,Volodymyr Buryak,Y,
Who was the previous head of the government of Chislaz?,Mihai Kosztandi,Y,
Who was the previous head of the government of Saint-Pol-sur-Ternoise?,Yves Heniart,N,Maurice Louf
Who was the previous head of the government of West Maas en Waal?,Corry van Rhee-Oud Ammerveld,Y,
Who was the previous head of the government of Atlanta?,Keisha Lance Bottoms,Y,
Who was the previous head of the government of Tasnad?,Csaba-Francisc Grieb,Y,
Who was the previous head of the government of Cologne?,Jurgen Roters,Y,
Who was the previous head of the government of Glostrup Municipality?,John Engelhardt,Y,
Who was the previous head of the government of Luizi-Calugara?,Florentiu Butacu,Y,
Who was the previous head of the government of Kernen im Remstal?,Stefan Altenberger,Y,
Who was the previous head of the government of Plzen Region?,Ilona Mauritzova,Y,
Who was the previous head of the government of Asturias?,Javier Fernandez Fernandez,Y,
Who was the previous head of the government of Taipei City Government?,Hau Lung-pin,Y,
Who was the previous head of the government of Roskilde Municipality?,Joy Mogensen,Y,
Who was the previous head of the government of Enebakk?,Oystein Slette,Y,
Who was the previous head of the government of Noyelles-les-Vermelles?,Leon Copin,Y,
Who was the previous head of the government of Manitoba?,Kelvin Goertzen,Y,
Who was the previous head of the government of Izmir?,Aziz Kocaoglu,N,Tunç Soyer
Who was the previous head of the government of Vladivostok?,Oleg Vladimirovich Humeniuk,Y,
Who was the previous head of the government of Vacareni?,Stefan Stoica,NF,
Who was the previous head of the government of Hsinchu County?,Chiu Ching-chun,Y,
Who was the previous head of the government of Chailly-sur-Armancon?,Didier Levy,Y,
Who was the previous head of the government of Avesnes-le-Sec?,Eric Delvaux,Y,
Who was the previous head of the government of Botosani?,Catalin-Mugurel Flutur,Y,
Who was the previous head of the government of Dinard?,Jean-Claude Mahe,Y,
Who was the previous head of the government of Mumbai?,Kishori Pednekar,Y,
Who was the previous head of the government of Pomi?,Ioan Grad,Y,
Who was the previous head of the government of Usurbil?,Xabier Arregi Iparragirre,Y,
Who was the previous head of the government of Navarre?,Uxue Barkos,Y,
Who was the previous head of the government of Republic of Bashkortostan?,Radiy Khabirov,N,He is current head
Who was the previous head of the government of Nicseni?,Iulian Iliescu,Y,
Who was the previous head of the government of Villers-Plouich?,Raymond Machut,Y,
Who was the previous head of the government of Erftstadt?,Volker Erner,Y,
Who was the previous head of the government of Wiesbaden?,Sven Gerich,Y,
Who was the previous head of the government of Mauritania?,Ismail Ould Bedde Ould Cheikh Sidiya,Y,
Who was the previous head of the government of Eugene?,Kitty Piercy,Y,
Who was the previous head of the government of Heilongjiang?,Hu Changsheng,Y,
Who was the previous head of the government of Kopstal?,Carlo Schmit,NF,
Who was the previous head of the government of The Hague?,Johan Remkes,Y,
Who was the previous head of the government of Bahna?,Emil Prisecaru,Y,
Who was the previous head of the government of Norfolk?,Paul D. Fraim,Y,
Who was the previous head of the government of Graz?,Siegfried Nagl,Y,
Who was the previous head of the government of Nur-Sultan?,Bakhyt Sultanov,NF,
Who was the previous head of the government of Pardubice Region?,Radko Martinek,N,
Who was the previous head of the government of Istanbul?,Mevlut Uysal,Y,
Who was the previous head of the government of Kazakhstan?,Askar Mamin,Y,
Who was the previous head of the government of Le Bourget?,Yannick Hoppe,Y,
Who was the previous head of the government of Bruay-la-Buissiere?,Olivier Switaj,Y,
Who was the previous head of the government of Indianapolis?,Greg Ballard,Y,
Who was the previous head of the government of Gratangen?,Eva Ottesen,Y,
Who was the previous head of the government of Ferin?,Monique Parent,NF,
Who was the previous head of the government of Sudwest-Fryslan?,Magda Berndsen,Y,
Who was the previous head of the government of Mykolaiv Oblast?,Q109337450,N,Yurii Hranaturov 
Who was the previous head of the government of Helsingor Municipality?,Johannes Hecht-Nielsen,Y,
Who was the previous head of the government of Bordeaux?,Nicolas Florian,Y,
Who was the previous head of the government of Tingvoll?,Milly Bente Norsett,Y,
Who was the previous head of the government of Madrid?,Manuela Carmena,Y,
Who was the previous head of the government of Massalfassar?,Joan Morant,NF,
Who was the previous head of the government of Kosovo?,Avdullah Hoti,Y,
Who was the previous head of the government of Iasi?,Gheorghe Nichita,Y,
Who was the previous head of the government of Lyngby-Taarbaek Municipality?,Soren P. Rasmussen,Y,
Who was the previous head of the government of Roman?,Lucian Micu,N,Virginia Raggi
Who was the previous head of the government of Weilheim-Schongau?,Friedrich Zeller,Y,
Who was the previous head of the government of Mali?,Choguel Kokalla Maiga,Y,
Who was the previous head of the government of Burkina Faso?,Lassina Zerbo,Y,
Who was the previous head of the government of Primorsky Krai?,Andrey Vladimirovich Tarasenko,Y,
Who was the previous head of the government of Boise?,David H. Bieter,Y,
Who was the previous head of the government of Heilbronn?,Helmut Himmelsbach,Y,
Who was the previous head of the government of Sector 1?,Daniel Tudorache,Y,
Who was the previous head of the government of Mexico?,Enrique Pena Nieto,Y,
Who was the previous head of the government of Meudon?,Herve Marseille,Y,
Who was the previous head of the government of Community of Madrid?,Pedro Rollan Ojeda,Y,
Who was the previous head of the government of Hradec Kralove?,Alexandr Hrabalek,Y,
Who was the previous head of the government of Bulgaria?,Galab Donev,Y,
Who was the previous head of the government of Vestre Slidre?,Eivind Brenna,Y,
Who was the previous head of the government of Almaty?,Bakhytzhan Sagintayev,Y,
Who was the previous head of the government of Ukraine?,Oleksiy Honcharuk,Y,
Who was the previous head of the government of Vesthimmerland Municipality?,Knud Kristensen,N,
Who was the previous head of the government of France?,Elisabeth Borne,Y,
Who was the previous head of the government of Freiburg im Breisgau?,Dieter Salomon,Y,
Who was the previous head of the government of Sector 6?,Gabriel Mutu,Y,
Who was the previous head of the government of Sector 5?,Cristian Popescu Piedone,N,He is the current head
Who is the head of the government of Trebic currently?,Pavel Pacal,Y,
Who was the previous head of the government of Balti?,Renato Usatii,N,Nicolae Grigorișin
Who was the previous head of the government of Lyon?,Gerard Collomb,Y,
Who was the previous head of the government of Dunkirk?,Michel Delebarre,Y,
Who was the previous head of the government of Aachen?,Marcel Philipp,Y,
Who was the previous head of the government of Iran?,Hassan Rouhani,Y,
Who was the previous head of the government of Modum?,Stale Versland,NF,
Who was the previous head of the government of Bat Yam?,Yosi Bachar,Y,
Who was the previous head of the government of Morlaix Communaute?,Thierry Piriou,Y,
Who was the previous head of the government of Castile and Leon?,Juan Vicente Herrera Campo,Y,
Who was the previous head of the government of Saint-Etienne?,Maurice Vincent,Y,
Who was the previous head of the government of Tibanesti?,Aurica Cobuz,Y,
Who was the previous head of the government of Darmstadt Government Region?,Johannes Baron,Y,
Who was the previous head of the government of Lourches?,Jean-Rene Bihet,Y,
Who was the previous head of the government of Langeland Municipality?,Bjarne Nielsen,Y,
Who was the previous head of the government of Wassenaar?,Frank Koen,Y,
Who was the previous head of the government of Saint-Brieuc Armor Agglomeration?,Marie-Claire Diouron,Y,
Who was the previous head of the government of Arleux?,Patrick Masclet,Y,
Who was the previous head of the government of North West?,Job Mokgoro,Y,
Who was the previous head of the government of Alcoi / Alcoy?,Jordi Sedano Delgado,Y,
Who was the previous head of the government of Salzburg?,Heinz Schaden,Y,
Who was the previous head of the government of Hradec Kralove Region?,Jiri Stepan,N,Alexandr Hrabálek
Who was the previous head of the government of Kremenchuk?,Oleh Babayev,Y,
Who was the previous head of the government of Chisinau?,Andrei Nastase,Y,
Who was the previous head of the government of Fantanele?,Emil-Nicolae Otlacan,NF,
Who was the previous head of the government of Piestany?,Milos Tamajka,Y,
Who was the previous head of the government of Mainz?,Gunter Beck,Y,
Who was the previous head of the government of Meraker?,Kari Anita Furunes,Y,
Who was the previous head of the government of Geneva?,Marie Barbey-Chappuis,Y,
Who was the previous head of the government of O Rosal?,Maria del Carmen Alonso Alonso,Y,
Who was the previous head of the government of Stord?,Harry Herstad,Y,
Who was the previous head of the government of Doetinchem?,Niels Joosten,Y,
Who was the previous head of the government of Masoy?,Reidun Helene Mortensen,Y,
Who was the previous head of the government of Tilloy-lez-Marchiennes?,Jean-Luc Bot,Y,
Who was the previous head of the government of Molenbeek-Saint-Jean?,Francoise Schepmans,Y,
Who was the previous head of the government of Tydal?,Ole Bjarne Ostby,Y,
Who was the previous head of the government of Boston?,Kim Janey,Y,
Who was the previous head of the government of Copenhagen Municipality?,Lars Weiss,Y,
Who was the previous head of the government of Lubeck?,Bernd Saxe,Y,
Who was the previous head of the government of Marseille?,Benoit Payan,Y,
Who was the previous head of the government of Sonderborg Municipality?,Aase Nyegaard,Y,
Who was the previous head of the government of Spain?,Mariano Rajoy,Y,
Who was the previous head of the government of Fouquieres-les-Lens?,Michel Bouchez,Y,
Who was the previous head of the government of Verona?,Federico Sboarina,Y,
Who was the previous head of the government of Russia?,Dmitry Medvedev,Y,
Who was the previous head of the government of Romania?,Nicolae Ciuca,Y,
Who was the previous head of the government of Esch-sur-Alzette?,Georges Mischo,Y,
Who was the previous head of the government of Petris?,Irina Onescu,Y,
Who was the previous head of the government of Vienna?,Michael Haupl,Y,
Who was the previous head of the government of Poland?,Mateusz Morawiecki,Y,
Who was the previous head of the government of Prats de Llucanes?,Isaac Peraire Soler,Y,
Who was the previous head of the government of Budapest District XI?,Tamas Hoffmann,Y,
Who was the previous head of the government of Hasnon?,Yannick Nison,Y,
Who was the previous head of the government of Taitung County?,Justin Huang,Y,
Who was the previous head of the government of Plzen?,Pavel Sindelar,Y,
Who was the previous head of the government of Kerteminde Municipality?,Hans Luunbjerg,Y,
Who was the previous head of the government of Mende?,Jean-Jacques Delmas,Y,
Who was the previous head of the government of Chicago?,Lori Lightfoot,Y,
Who was the previous head of the government of Malang?,Muhammad Anton,Y,
Who was the previous head of the government of Dochia?,Constantin Paduraru,Y,
Who was the previous head of the government of Georgia?,Irakli Garibashvili,Y,
Who was the previous head of the government of Incheon?,Paul Yoo,Y,
Who was the previous head of the government of Darabani?,Liviu Hrimiuc,Y,
Who was the previous head of the government of Muhldorf am Inn?,Marianne Zollner,Y,
Who was the previous head of the government of Hadsel?,Kurt Jenssen,Y,
Who was the previous head of the government of Canada?,Stephen Harper,Y,
Who was the previous head of the government of Region Zealand?,Jens Stenbaek,Y,
Who was the previous head of the government of Free Hanseatic City of Bremen?,Carsten Sieling,Y,
Who was the previous head of the government of Sant Fost de Campsentelles?,Carles Miquel i Ruzafa,Y,
Who was the previous head of the government of Stevns Municipality?,Anette Mortensen,Y,
Who was the previous head of the government of Dortmund?,Ullrich Sierau,Y,
Who was the previous head of the government of Arnhem?,Boele Staal,Y,
Who was the previous head of the government of Addis Ababa?,Takele Uma Benti,Y,
Who was the previous head of the government of Kinmen?,Chen Fu-hai,Y,
Who was the previous head of the government of Greenland?,Kim Kielsen,Y,
Who was the previous head of the government of Quezon City?,Herbert Bautista,Y,
Who was the previous head of the government of Bremerhaven?,Jorg Schulz,Y,
Who was the previous head of the government of Germany?,Angela Merkel,Y,
Who was the previous head of the government of Nuremberg?,Ulrich Maly,Y,
Who was the previous head of the government of Osaka Prefecture?,Ichiro Matsui,Y,
Who was the previous head of the government of Vintu de Jos?,Ion-Iosif Josan,Y,
Who was the previous head of the government of Miskolc?,Akos Kriza,Y,
Who was the previous head of the government of Rasnov?,Liviu Butnaru,Y,
Who was the previous head of the government of Lannemezan?,Pierre Bleuler,Y,
Who was the previous head of the government of Belgium?,Sophie Wilmes,Y,
Who was the previous head of the government of Isabela?,Faustino G. Dy III,Y,
Who was the previous head of the government of Besancon?,Jean-Louis Fousseret,Y,
Who was the previous head of the government of Zorlentu Mare?,Martin Cornea,Y,
Who was the previous head of the government of Kyoto Prefecture?,Keiji Yamada,Y,
Who was the previous head of the government of Balassagyarmat?,Lajos Medvacz,Y,
Who was the previous head of the government of Hong Kong?,Carrie Lam,Y,
Who was the previous head of the government of Nantou County?,Lee Chao-ching,Y,
Who was the previous head of the government of Brno?,Petr Vokral,Y,
Who was the previous head of the government of Aulnay-sous-Bois?,Gerard Segura,Y,
Who was the previous head of the government of Varghis?,Levente-Lehel Suto,Y,
Who was the previous head of the government of Keelung?,Lin Yu-chang,Y,
Who was the previous head of the government of Skanderborg Municipality?,Jorgen Gaarde,Y,
Who was the previous head of the government of Brandenburg an der Havel?,Dietlind Tiemann,Y,
Who was the previous head of the government of Jonkoping County?,Anneli Wirten,Y,
Who was the previous head of the government of Rebreuve-Ranchicourt?,Philippe Miloszyk,Y,
Who was the previous head of the government of Nomain?,Yannick Lassalle,NF,
Who was the previous head of the government of Ziduri?,Nicolaie Nedelcu,Y,
Who was the previous head of the government of Nizhny Novgorod?,Vladimir Panov,Y,
Who was the previous head of the government of KwaZulu-Natal?,Sihle Zikalala,Y,
Who was the previous head of the government of Odense Municipality?,Anker Boye,Y,
Who was the previous head of the government of Uruguay?,Tabare Vazquez,Y,
Who was the previous head of the government of Hamburg?,Olaf Scholz,Y,
Who was the previous head of the government of Mostoles?,David Lucas,Y,
Who was the previous head of the government of London?,Boris Johnson,Y,
Who was the previous head of the government of Pakistan?,Imran Khan,Y,
Who was the previous head of the government of Ghidfalau?,Jozsef Berde,Y,
Which team did Andre Frolov play for before the current team?,Estonia national under-23 football team,Y,
Which team did Sergio Marcon play for before the current team?,A.S.D. Itala San Marco Gradisca,N,Vicenza
Which team did Alexandru Rauta play for before the current team?,FC Dinamo Bucharest,Y,
Which team did Arjen Livyns play for before the current team?,Bingoal Pauwels Sauces WB,Y,
Which team did Marian Draghiceanu play for before the current team?,FC Rapid Bucuresti,Y,
Which team did Vicente Moscardo play for before the current team?,"Huracan Valencia CF, Coruxo FC",N,Olímpic Xàtiva
Which team did Nigel Boogaard play for before the current team?,Adelaide United Football Club,N,Newcastle Jets
Which team did Ella Van Kerkhoven play for before the current team?,Inter Milan,N,OH Leuven
Which team did Leandro Resida play for before the current team?,FC Emmen,N,Chainat Hornbill
Which team did Bradley Grayson play for before the current team?,Stocksbridge Park Steels F.C.,N,Gainsborough Trinity
Which team did Marco Krainz play for before the current team?,"FK Austria Wien, Austria national under-18 football team",N,Austria U19
Which team did Robert Garrett play for before the current team?,Linfield F.C.,NF,
Which team did Manuel Fernandes play for before the current team?,Apollon Smyrna F.C.,Y,
Which team did Li Chenguang play for before the current team?,Qingdao Hainiu F.C.,N,Inner Mongolia Caoshangfei
Which team did Jordan Pierre-Charles play for before the current team?,Sporting Club Lyon,N,Chambly
Which team did Victor Fernandez play for before the current team?,FCV Farul Constanta,N,Enosis Neon Paralimni
Which team did Chris Dagnall play for before the current team?,"Kerala Blasters FC, Leyton Orient F.C.",N,Yeovil Town
Which team did Lubos Kalouda play for before the current team?,"FK Dukla Prague, Dukla Prague",Y,
Which team did Carles Coto play for before the current team?,FC Santa Coloma,Y,
Which team did Keamogetse Wolff play for before the current team?,"Chippa United F.C., Cape Town Spurs F.C.",Y,
Which team did Sergei Butyrin play for before the current team?,FC Fakel Voronezh,N,FC Chayka Peschanokopskoye
Which team did Jordi Masip play for before the current team?,FC Barcelona Atletic,Y,
Which team did Oswaldo Vizcarrondo play for before the current team?,F.C. Nantes,N,Troyes
Which team did Dries Wuytens play for before the current team?,Sektzia Nes Tziona F.C.,Y,
Which team did Ruben Palazuelos play for before the current team?,"Ross County F.C., Ermis Aradippou FC",N,Avilés
Which team did Dodi Lukedaqio play for before the current team?,Fortuna Dusseldorf,N, VfL Wolfsburg 
Which team did Stefan Payne play for before the current team?,Dover Athletic F.C.,N,Tonbridge Angels
Which team did Vladyslav Nasibulin play for before the current team?,FC Hirnyk-Sport Horishni Plavni,Y,
Which team did Dmitry Guz play for before the current team?,FC Tyumen,N,Kaluga
Which team did Johan Wiland play for before the current team?,F.C. Copenhagen,N,Malmö FF
Which team did Pai Soe play for before the current team?,Yadanarbon F.C.,Y,
Which team did Bent Sormo play for before the current team?,Kristiansund BK,N,Zulte Waregem
Which team did Daniel Ola play for before the current team?,A.S.D. Fidelis Andria 1928,N,Buccino Volcei
Which team did Volodymyr Gerun play for before the current team?,Real Betis Baloncesto,Y,
Which team did Dejana Stefanovic play for before the current team?,Avaldsnes IL,N,Vålerenga
Which team did Musaed Neda play for before the current team?,Al-Orobah F.C.,N, Al-Salmiya SC
Which team did Moti Malka play for before the current team?,Hapoel Nof HaGalil F.C.,N,F.C. Kafr Qasim
Which team did Luca Bigi play for before the current team?,Benetton Rugby Treviso,Y,
Which team did Henrik Furebotn play for before the current team?,Sandnes Ulf,N,Sogndal
Which team did Igor Pisanjuk play for before the current team?,Vasas SC,Y,
Which team did Sebastien Dewaest play for before the current team?,Jong Genk,Y,
Which team did Roman Bolbocian play for before the current team?,Elpida Xylofagou,N,ASIL
Which team did Aluisio da Silva Neres Junior play for before the current team?,"Nacional Atletico Clube, Madureira Esporte Clube",N,Dibba Al-Fuhairah
Which team did Keith Hornsby play for before the current team?,LSU Tigers men's basketball,N,Rytas Vilnius
Which team did Jamal Campbell-Ryce play for before the current team?,Notts County F.C.,N,Stevenage
Which team did Jose Perez Ferrada play for before the current team?,Cobreloa,N,Rangers
Which team did Ihor Yaroslavovych Khudobyak play for before the current team?,FC Rostov,N,Ethnikos Achna
Which team did Carlos Balcazar play for before the current team?,Leones Negros de la Universidad de Guadalajara,Y,
Which team did Yvan Dibango play for before the current team?,FC Isloch Minsk Raion,N,Kryvbas Kryvyi Rih
Which team did Hironori Saruta play for before the current team?,Port F.C.,N,Chiangrai United
Which team did Tobias Borg play for before the current team?,CB 1939 Canarias,N,Lenovo Tenerife
Which team did Nora Heroum play for before the current team?,A.C. Milan,N,Parma
Which team did Nils Pichinot play for before the current team?,Goslarer SC 08,N,DJK Struth
Which team did Jonathan Carlsbogard play for before the current team?,TBV Lemgo,Y,
Which team did Mark Orosz play for before the current team?,"Ferencvarosi TC, Lombard-Papa TFC",N,Soroksár
Which team did Ahmad Esmaeilpour play for before the current team?,"Shahid Mansouri Gharchak FSC, Iran national futsal team",N,Qingdao Impulse Chenxi
Which team did Emrullah Salk play for before the current team?,Balikesirspor,N,Bursaspor
Which team did Ryan Taylor play for before the current team?,ATK (football club),N,Miami Dolphins
Which team did Yudai Nishikawa play for before the current team?,Kataller Toyama,N,Tochigi SC
Which team did Deniz Kilicli play for before the current team?,Buyukcekmece Basketball,Y,
Which team did Olly Barkley play for before the current team?,"Scarlets, FC Grenoble",Y,
Which team did Jonathan Rivas play for before the current team?,Football Bourg-en-Bresse Peronnas 01,Y,
Which team did Vitaliy Balashov play for before the current team?,FC Aktobe,Y,
Which team did Tugela Tuyeni play for before the current team?,Namibia national football team,N,Civics
Which team did Andre Simoes play for before the current team?,Moreirense F.C.,N,Famalicão
Which team did Todd Kane play for before the current team?,"Bristol City F.C., Nottingham Forest F.C.",N,Manchester 62
Which team did Natnael Berhane play for before the current team?,Cofidis,Y,
Which team did Maximilian Oesterhelweg play for before the current team?,Chemnitzer FC,N,Carl Zeiss Jena
Which team did Victor Bulat play for before the current team?,FC Yenisey Krasnoyarsk,Y,
Which team did Ahmad Deeb play for before the current team?,"Syria national football team, Al Fateh SC",N,Nejmeh
Which team did Mickael Alphonse play for before the current team?,Dijon FCO,N,Maccabi Haifa
Which team did Fabio Morena play for before the current team?,SV Sandhausen,Y,
Which team did Coen Vermeltfoort play for before the current team?,Alecto,Y,
Which team did Kathleen Radtke play for before the current team?,"Manchester City F.C., Manchester City W.F.C.",Y,
Which team did Ludovic Saline play for before the current team?,Sporting Club Lyon,N,Belfort
Which team did James Dunne play for before the current team?,"Dagenham & Redbridge F.C., Portsmouth F.C.",N,Dover Athletic
Which team did Jasmin Glaesser play for before the current team?,Human Powered Health Women,N,Rally Cycling
Which team did Anas Sharbini play for before the current team?,HNK Rijeka,N,Grobničan
Which team did Kevin Volland play for before the current team?,TSG 1899 Hoffenheim,N,Monaco
Which team did Mikel Landa play for before the current team?,Bahrain Victorious,Y,
Which team did Ionut Rada play for before the current team?,A.S.D. Fidelis Andria 1928,Y,
Which team did Ruslan Ivanov play for before the current team?,FC Bansko,N,Kyustendil
Which team did Miguel Florez Lopez play for before the current team?,GW Shimano-Sidermec,Y,
Which team did Mohamed Benyahia play for before the current team?,CA Bastia,N,Al-Thoqbah
Which team did Marcus Morris Sr. play for before the current team?,New York Knicks,N,Philadelphia 76ers
Which team did Leroy Fer play for before the current team?,Feyenoord,Y,
Which team did Shpetim Hasani play for before the current team?,Gornik Leczna,N,Karlslunds IF
Which team did Jean Pierre Fuentes play for before the current team?,Cobresol,N,Melgar
Which team did Petar Franjic play for before the current team?,"NK Istra, NK Istra 1961",N,Dandenong City
Which team did Darwin Atapuma play for before the current team?,Colombia Tierra de Atletas-GW Bicicletas,Y,
Which team did Khaled Lemmouchia play for before the current team?,"Algeria national football team, Club Africain",Y,
Which team did Alfredo Mejia play for before the current team?,C.D. Marathon,N,Pontevedra
Which team did Jonjoe Kenny play for before the current team?,Celtic F.C.,Y,
Which team did Joao Gois play for before the current team?,G.D. Chaves,N,Felgueiras 1932
Which team did Pedro Rios play for before the current team?,Recreativo de Huelva,N,Córdoba
Which team did Martin Spelmann play for before the current team?,Odense Boldklub,N,Mjällby
Which team did Hou Junjie play for before the current team?,Shanghai Shenxin F.C.,Y,
Which team did Rafael Andriato play for before the current team?,Sao Francisco Saude,Y,
Which team did Vedran Jese play for before the current team?,NK Zadar,Y,
Which team did Antonio Teles play for before the current team?,Kalteng Putra F.C.,Y,
Which team did Okan Kurt play for before the current team?,Adanaspor,Y,
Which team did Naoki Wako play for before the current team?,Mito HollyHock,N,Kashiwa Reysol
Which team did Tlou Molekwane play for before the current team?,Bidvest Wits F.C.,N,Polokwane City
Which team did Alexandru Greab play for before the current team?,CS Mioveni,Y,
Which team did Josh Yorwerth play for before the current team?,"Cardiff City F.C., Wales national under-21 football team",Y,
Which team did Lewis Killeen play for before the current team?,Crawley Town F.C.,Y,
Which team did Mihael Orachev play for before the current team?,PSFC Chernomorets Burgas,N,Sozopol
